Date,Reference,Account,Amount,Memo
01/22/2026,SO-#81010,1061.000,11.26,Credit Card/PayPal - Order #81010
01/22/2026,SO-#81010,3000.000,-15.00,Sales - Order #81010
01/22/2026,SO-#81010,3034.000,4.50,Discount - Order #81010
01/22/2026,SO-#81010,2110.000,-0.76,Sales Tax - Order #81010
01/22/2026,SO-#81009,1061.000,31.38,Credit Card/PayPal - Order #81009
01/22/2026,SO-#81009,3000.000,-31.38,Sales - Order #81009
01/22/2026,SO-#81008,1061.000,31.38,Credit Card/PayPal - Order #81008
01/22/2026,SO-#81008,3000.000,-31.38,Sales - Order #81008
01/22/2026,SO-#81007,1061.000,21.44,Credit Card/PayPal - Order #81007
01/22/2026,SO-#81007,3000.000,-19.99,Sales - Order #81007
01/22/2026,SO-#81007,2110.000,-1.45,Sales Tax - Order #81007
01/22/2026,SO-#81006,1061.000,81.72,Credit Card/PayPal - Order #81006
01/22/2026,SO-#81006,3000.000,-76.15,Sales - Order #81006
01/22/2026,SO-#81006,2110.000,-5.57,Sales Tax - Order #81006
01/22/2026,SO-#81005,1061.000,31.38,Credit Card/PayPal - Order #81005
01/22/2026,SO-#81005,3000.000,-31.38,Sales - Order #81005
01/22/2026,SO-#81004,1061.000,31.38,Credit Card/PayPal - Order #81004
01/22/2026,SO-#81004,3000.000,-31.38,Sales - Order #81004
01/22/2026,SO-#81003,1061.000,74.83,Credit Card/PayPal - Order #81003
01/22/2026,SO-#81003,3000.000,-74.83,Sales - Order #81003
01/22/2026,SO-#81002,1061.000,42.32,Credit Card/PayPal - Order #81002
01/22/2026,SO-#81002,3000.000,-39.45,Sales - Order #81002
01/22/2026,SO-#81002,2110.000,-2.87,Sales Tax - Order #81002
01/22/2026,SO-#81000,1061.000,40.18,Credit Card/PayPal - Order #81000
01/22/2026,SO-#81000,3000.000,-37.45,Sales - Order #81000
01/22/2026,SO-#81000,2110.000,-2.73,Sales Tax - Order #81000
01/22/2026,SO-#80998,1061.000,14.49,Credit Card/PayPal - Order #80998
01/22/2026,SO-#80998,3000.000,-13.50,Sales - Order #80998
01/22/2026,SO-#80998,2110.000,-0.99,Sales Tax - Order #80998
01/22/2026,SO-#80997,1061.000,176.46,Credit Card/PayPal - Order #80997
01/22/2026,SO-#80997,3000.000,-174.65,Sales - Order #80997
01/22/2026,SO-#80997,2110.000,-1.81,Sales Tax - Order #80997
01/22/2026,SO-#80996,1051.000,90.74,Cash/Check - Order #80996
01/22/2026,SO-#80996,3000.000,-105.75,Sales - Order #80996
01/22/2026,SO-#80996,3034.000,21.15,Discount - Order #80996
01/22/2026,SO-#80996,2110.000,-6.14,Sales Tax - Order #80996
01/22/2026,SO-#80995,1061.000,2693.01,Credit Card/PayPal - Order #80995
01/22/2026,SO-#80995,3000.000,-2805.26,Sales - Order #80995
01/22/2026,SO-#80995,3034.000,352.40,Discount - Order #80995
01/22/2026,SO-#80995,2110.000,-220.15,Sales Tax - Order #80995
01/22/2026,SO-#80995,3040.000,-20.00,Shipping - Order #80995
01/22/2026,SO-#80994,1061.000,19.95,Credit Card/PayPal - Order #80994
01/22/2026,SO-#80994,3000.000,-19.95,Sales - Order #80994
01/22/2026,SO-#80991,1061.000,626.77,Credit Card/PayPal - Order #80991
01/22/2026,SO-#80991,3000.000,-579.00,Sales - Order #80991
01/22/2026,SO-#80991,2110.000,-47.77,Sales Tax - Order #80991
01/22/2026,SO-#80989,1061.000,86.46,Credit Card/PayPal - Order #80989
01/22/2026,SO-#80989,3000.000,-101.70,Sales - Order #80989
01/22/2026,SO-#80989,3034.000,15.24,Discount - Order #80989
01/22/2026,SO-#80987,1061.000,54.05,Credit Card/PayPal - Order #80987
01/22/2026,SO-#80987,3000.000,-54.05,Sales - Order #80987
01/22/2026,SO-#80986,1061.000,57.97,Credit Card/PayPal - Order #80986
01/22/2026,SO-#80986,3000.000,0.00,Sales - Order #80986
01/22/2026,SO-#80986,2110.000,-3.92,Sales Tax - Order #80986
01/22/2026,RF-#80986,3035.000,57.97,Refund - Order #80986
01/22/2026,RF-#80986,1061.000,-57.97,Refund Credit Card/PayPal - Order #80986
01/22/2026,SO-#80985,1061.000,31.09,Credit Card/PayPal - Order #80985
01/22/2026,SO-#80985,3000.000,-28.99,Sales - Order #80985
01/22/2026,SO-#80985,2110.000,-2.10,Sales Tax - Order #80985
01/22/2026,SO-#80984,1061.000,26.51,Credit Card/PayPal - Order #80984
01/22/2026,SO-#80984,3000.000,-24.70,Sales - Order #80984
01/22/2026,SO-#80984,2110.000,-1.81,Sales Tax - Order #80984
01/22/2026,SO-#80981,1051.000,32.16,Cash/Check - Order #80981
01/22/2026,SO-#80981,3000.000,-29.99,Sales - Order #80981
01/22/2026,SO-#80981,2110.000,-2.17,Sales Tax - Order #80981
01/22/2026,SO-#80980,1061.000,245.73,Credit Card/PayPal - Order #80980
01/22/2026,SO-#80980,3000.000,-271.40,Sales - Order #80980
01/22/2026,SO-#80980,3034.000,42.30,Discount - Order #80980
01/22/2026,SO-#80980,2110.000,-16.63,Sales Tax - Order #80980
01/22/2026,SO-#80979,1061.000,6.38,Credit Card/PayPal - Order #80979
01/22/2026,SO-#80979,3000.000,-5.95,Sales - Order #80979
01/22/2026,SO-#80979,2110.000,-0.43,Sales Tax - Order #80979
01/22/2026,SO-#80977,1061.000,92.91,Credit Card/PayPal - Order #80977
01/22/2026,SO-#80977,3000.000,-108.25,Sales - Order #80977
01/22/2026,SO-#80977,3034.000,21.65,Discount - Order #80977
01/22/2026,SO-#80977,2110.000,-6.31,Sales Tax - Order #80977
01/22/2026,SO-#80976,1051.000,6.98,Cash/Check - Order #80976
01/22/2026,SO-#80976,3000.000,-6.50,Sales - Order #80976
01/22/2026,SO-#80976,2110.000,-0.48,Sales Tax - Order #80976
01/22/2026,SO-#80975,1061.000,30.71,Credit Card/PayPal - Order #80975
01/22/2026,SO-#80975,3000.000,-40.88,Sales - Order #80975
01/22/2026,SO-#80975,3034.000,12.24,Discount - Order #80975
01/22/2026,SO-#80975,2110.000,-2.07,Sales Tax - Order #80975
01/22/2026,SO-#80970,1061.000,54.38,Credit Card/PayPal - Order #80970
01/22/2026,SO-#80970,3000.000,-47.88,Sales - Order #80970
01/22/2026,SO-#80970,3040.000,-6.50,Shipping - Order #80970
01/22/2026,SO-#80968,1061.000,6.76,Credit Card/PayPal - Order #80968
01/22/2026,SO-#80968,3000.000,-9.00,Sales - Order #80968
01/22/2026,SO-#80968,3034.000,2.70,Discount - Order #80968
01/22/2026,SO-#80968,2110.000,-0.46,Sales Tax - Order #80968
01/22/2026,SO-#80967,1061.000,26.33,Credit Card/PayPal - Order #80967
01/22/2026,SO-#80967,3000.000,-25.24,Sales - Order #80967
01/22/2026,SO-#80967,2110.000,-1.09,Sales Tax - Order #80967
01/22/2026,SO-#80948,1061.000,29.35,Credit Card/PayPal - Order #80948
01/22/2026,SO-#80948,3000.000,-22.85,Sales - Order #80948
01/22/2026,SO-#80948,3040.000,-6.50,Shipping - Order #80948
01/22/2026,SO-#80943,1061.000,24.50,Credit Card/PayPal - Order #80943
01/22/2026,SO-#80943,3000.000,-18.00,Sales - Order #80943
01/22/2026,SO-#80943,3040.000,-6.50,Shipping - Order #80943
01/22/2026,SO-#80940,1061.000,39.50,Credit Card/PayPal - Order #80940
01/22/2026,SO-#80940,3000.000,-36.00,Sales - Order #80940
01/22/2026,SO-#80940,3034.000,3.00,Discount - Order #80940
01/22/2026,SO-#80940,3040.000,-6.50,Shipping - Order #80940
01/22/2026,SO-#80939,1061.000,46.10,Credit Card/PayPal - Order #80939
01/22/2026,SO-#80939,3000.000,-39.60,Sales - Order #80939
01/22/2026,SO-#80939,3040.000,-6.50,Shipping - Order #80939
01/22/2026,SO-#80931,1061.000,34.68,Credit Card/PayPal - Order #80931
01/22/2026,SO-#80931,3000.000,-33.15,Sales - Order #80931
01/22/2026,SO-#80931,3034.000,4.97,Discount - Order #80931
01/22/2026,SO-#80931,3040.000,-6.50,Shipping - Order #80931
01/22/2026,SO-#80930,1061.000,40.49,Credit Card/PayPal - Order #80930
01/22/2026,SO-#80930,3000.000,-39.98,Sales - Order #80930
01/22/2026,SO-#80930,3034.000,5.99,Discount - Order #80930
01/22/2026,SO-#80930,3040.000,-6.50,Shipping - Order #80930
