Date,Reference,Account,Amount,Memo
01/26/2026,SO-#81219,1061.000,62.37,Credit Card/PayPal - Order #81219
01/26/2026,SO-#81219,3000.000,-72.70,Sales - Order #81219
01/26/2026,SO-#81219,3034.000,14.54,Discount - Order #81219
01/26/2026,SO-#81219,2110.000,-4.21,Sales Tax - Order #81219
01/26/2026,SO-#81218,1061.000,592.88,Credit Card/PayPal - Order #81218
01/26/2026,SO-#81218,3000.000,-552.80,Sales - Order #81218
01/26/2026,SO-#81218,2110.000,-40.08,Sales Tax - Order #81218
01/26/2026,SO-#81217,1061.000,35.57,Credit Card/PayPal - Order #81217
01/26/2026,SO-#81217,3000.000,-33.15,Sales - Order #81217
01/26/2026,SO-#81217,2110.000,-2.42,Sales Tax - Order #81217
01/26/2026,SO-#81216,1061.000,8.53,Credit Card/PayPal - Order #81216
01/26/2026,SO-#81216,3000.000,-7.95,Sales - Order #81216
01/26/2026,SO-#81216,2110.000,-0.58,Sales Tax - Order #81216
01/26/2026,SO-#81215,1061.000,9.54,Credit Card/PayPal - Order #81215
01/26/2026,SO-#81215,3000.000,-8.90,Sales - Order #81215
01/26/2026,SO-#81215,2110.000,-0.64,Sales Tax - Order #81215
01/26/2026,SO-#81213,4005.000,10.00,Inventory Adjustment/Memo Offset/Transfer Offset - Order #81213
01/26/2026,SO-#81213,3000.000,-24.95,Sales - Order #81213
01/26/2026,SO-#81213,3034.000,14.95,Discount - Order #81213
01/26/2026,SO-#81212,1061.000,22.48,Credit Card/PayPal - Order #81212
01/26/2026,SO-#81212,3000.000,-20.95,Sales - Order #81212
01/26/2026,SO-#81212,2110.000,-1.53,Sales Tax - Order #81212
01/26/2026,SO-#81211,1051.000,11.79,Cash/Check - Order #81211
01/26/2026,SO-#81211,3000.000,-10.99,Sales - Order #81211
01/26/2026,SO-#81211,2110.000,-0.80,Sales Tax - Order #81211
01/26/2026,SO-#81210,1061.000,35.42,Credit Card/PayPal - Order #81210
01/26/2026,SO-#81210,3000.000,-33.00,Sales - Order #81210
01/26/2026,SO-#81210,2110.000,-2.42,Sales Tax - Order #81210
01/26/2026,SO-#81209,1051.000,16.95,Cash/Check - Order #81209
01/26/2026,SO-#81209,3000.000,-15.80,Sales - Order #81209
01/26/2026,SO-#81209,2110.000,-1.15,Sales Tax - Order #81209
01/26/2026,SO-#81208,1061.000,126.25,Credit Card/PayPal - Order #81208
01/26/2026,SO-#81208,3000.000,-126.25,Sales - Order #81208
01/26/2026,SO-#81206,2320.000,16.52,Gift Cards/Gift Certificates - Order #81206
01/26/2026,SO-#81206,3000.000,-15.40,Sales - Order #81206
01/26/2026,SO-#81206,2110.000,-1.12,Sales Tax - Order #81206
01/26/2026,SO-#81205,1051.000,16.85,Cash/Check - Order #81205
01/26/2026,SO-#81205,3000.000,-15.70,Sales - Order #81205
01/26/2026,SO-#81205,2110.000,-1.15,Sales Tax - Order #81205
01/26/2026,SO-#81204,1061.000,25.52,Credit Card/PayPal - Order #81204
01/26/2026,SO-#81204,3000.000,-23.80,Sales - Order #81204
01/26/2026,SO-#81204,2110.000,-1.72,Sales Tax - Order #81204
01/26/2026,SO-#81203,2320.000,268.07,Gift Cards/Gift Certificates - Order #81203
01/26/2026,SO-#81203,3000.000,-172.25,Sales - Order #81203
01/26/2026,SO-#81202,1061.000,30.00,Credit Card/PayPal - Order #81202
01/26/2026,SO-#81202,3000.000,-30.00,Sales - Order #81202
01/26/2026,SO-#81201,1061.000,713.10,Credit Card/PayPal - Order #81201
01/26/2026,SO-#81201,3000.000,-664.90,Sales - Order #81201
01/26/2026,SO-#81201,2110.000,-48.20,Sales Tax - Order #81201
01/26/2026,SO-#81200,1061.000,81.40,Credit Card/PayPal - Order #81200
01/26/2026,SO-#81200,3000.000,-75.90,Sales - Order #81200
01/26/2026,SO-#81200,2110.000,-5.50,Sales Tax - Order #81200
01/26/2026,SO-#81199,1061.000,3.95,Credit Card/PayPal - Order #81199
01/26/2026,SO-#81199,3000.000,-3.95,Sales - Order #81199
01/26/2026,SO-#81197,1051.000,26.80,Cash/Check - Order #81197
01/26/2026,SO-#81197,3000.000,-24.99,Sales - Order #81197
01/26/2026,SO-#81197,2110.000,-1.81,Sales Tax - Order #81197
01/26/2026,SO-#81196,1061.000,37.47,Credit Card/PayPal - Order #81196
01/26/2026,SO-#81196,3000.000,-59.45,Sales - Order #81196
01/26/2026,SO-#81196,3034.000,24.51,Discount - Order #81196
