Date,Reference,Account,Amount,Memo
01/01/2026,SO-#80028,1061.000,34.04,Credit Card/PayPal - Order #80028
01/01/2026,SO-#80028,3000.000,-45.35,Sales - Order #80028
01/01/2026,SO-#80028,3034.000,13.60,Discount - Order #80028
01/01/2026,SO-#80028,2110.000,-2.29,Sales Tax - Order #80028
01/01/2026,SO-#80026,1061.000,60.12,Credit Card/PayPal - Order #80026
01/01/2026,SO-#80026,3000.000,-57.75,Sales - Order #80026
01/01/2026,SO-#80026,3034.000,8.66,Discount - Order #80026
01/01/2026,SO-#80026,2110.000,-4.53,Sales Tax - Order #80026
01/01/2026,SO-#80026,3040.000,-6.50,Shipping - Order #80026
01/01/2026,SO-#80025,1061.000,131.79,Credit Card/PayPal - Order #80025
01/01/2026,SO-#80025,3000.000,-103.60,Sales - Order #80025
01/01/2026,SO-#80025,2110.000,-8.19,Sales Tax - Order #80025
01/01/2026,SO-#80025,3040.000,-20.00,Shipping - Order #80025
01/01/2026,SO-#80024,1061.000,50.00,Credit Card/PayPal - Order #80024
01/01/2026,SO-#80024,3000.000,-50.00,Sales - Order #80024
01/01/2026,SO-#80023,1061.000,65.70,Credit Card/PayPal - Order #80023
01/01/2026,SO-#80023,3000.000,-65.70,Sales - Order #80023
01/01/2026,SO-#80022,1061.000,44.08,Credit Card/PayPal - Order #80022
01/01/2026,SO-#80022,3000.000,-40.45,Sales - Order #80022
01/01/2026,SO-#80022,2110.000,-4.56,Sales Tax - Order #80022
