Date,Reference,Account,Amount,Memo
01/17/2026,SO-#80776,2320.000,18.79,Gift Cards/Gift Certificates - Order #80776
01/17/2026,SO-#80776,3000.000,-17.50,Sales - Order #80776
01/17/2026,SO-#80776,2110.000,-1.29,Sales Tax - Order #80776
01/17/2026,SO-#80775,1061.000,18.98,Credit Card/PayPal - Order #80775
01/17/2026,SO-#80775,3000.000,-17.70,Sales - Order #80775
01/17/2026,SO-#80775,2110.000,-1.28,Sales Tax - Order #80775
01/17/2026,SO-#80774,1061.000,17.65,Credit Card/PayPal - Order #80774
01/17/2026,SO-#80774,3000.000,-16.45,Sales - Order #80774
01/17/2026,SO-#80774,2110.000,-1.20,Sales Tax - Order #80774
01/17/2026,SO-#80773,1061.000,15.66,Credit Card/PayPal - Order #80773
01/17/2026,SO-#80773,3000.000,-20.85,Sales - Order #80773
01/17/2026,SO-#80773,3034.000,6.24,Discount - Order #80773
01/17/2026,SO-#80773,2110.000,-1.05,Sales Tax - Order #80773
01/17/2026,SO-#80769,1051.000,18.08,Cash/Check - Order #80769
01/17/2026,SO-#80769,3000.000,-16.85,Sales - Order #80769
01/17/2026,SO-#80769,2110.000,-1.23,Sales Tax - Order #80769
01/17/2026,SO-#80766,1061.000,29.82,Credit Card/PayPal - Order #80766
01/17/2026,SO-#80766,3000.000,-27.80,Sales - Order #80766
01/17/2026,SO-#80766,2110.000,-2.02,Sales Tax - Order #80766
01/17/2026,SO-#80765,1051.000,45.36,Cash/Check - Order #80765
01/17/2026,SO-#80765,3000.000,-42.25,Sales - Order #80765
01/17/2026,SO-#80765,2110.000,-3.11,Sales Tax - Order #80765
01/17/2026,SO-#80764,1051.000,45.36,Cash/Check - Order #80764
01/17/2026,SO-#80764,3000.000,0.00,Sales - Order #80764
01/17/2026,SO-#80764,2110.000,-3.11,Sales Tax - Order #80764
01/17/2026,RF-#80764,3035.000,45.36,Refund - Order #80764
01/17/2026,RF-#80764,1051.000,-45.36,Refund Cash/Check - Order #80764
01/17/2026,SO-#80762,1061.000,61.91,Credit Card/PayPal - Order #80762
01/17/2026,SO-#80762,3000.000,-57.73,Sales - Order #80762
01/17/2026,SO-#80762,2110.000,-4.18,Sales Tax - Order #80762
01/17/2026,SO-#80761,1061.000,75.18,Credit Card/PayPal - Order #80761
01/17/2026,SO-#80761,3000.000,-70.10,Sales - Order #80761
01/17/2026,SO-#80761,2110.000,-5.08,Sales Tax - Order #80761
01/17/2026,SO-#80760,4005.000,129.25,Inventory Adjustment/Memo Offset/Transfer Offset - Order #80760
01/17/2026,SO-#80760,3000.000,-368.00,Sales - Order #80760
01/17/2026,SO-#80760,3034.000,238.75,Discount - Order #80760
01/17/2026,SO-#80759,1061.000,35.52,Credit Card/PayPal - Order #80759
01/17/2026,SO-#80759,3000.000,-33.10,Sales - Order #80759
01/17/2026,SO-#80759,2110.000,-2.42,Sales Tax - Order #80759
01/17/2026,SO-#80758,1061.000,3.22,Credit Card/PayPal - Order #80758
01/17/2026,SO-#80758,3000.000,-3.00,Sales - Order #80758
01/17/2026,SO-#80758,2110.000,-0.22,Sales Tax - Order #80758
01/17/2026,SO-#80756,1061.000,35.50,Credit Card/PayPal - Order #80756
01/17/2026,SO-#80756,3000.000,-33.10,Sales - Order #80756
01/17/2026,SO-#80756,2110.000,-2.40,Sales Tax - Order #80756
01/17/2026,SO-#80755,1061.000,28.97,Credit Card/PayPal - Order #80755
01/17/2026,SO-#80755,3000.000,-27.00,Sales - Order #80755
01/17/2026,SO-#80755,2110.000,-1.97,Sales Tax - Order #80755
01/17/2026,SO-#80754,1061.000,136.38,Credit Card/PayPal - Order #80754
01/17/2026,SO-#80754,3000.000,-127.84,Sales - Order #80754
01/17/2026,SO-#80754,2110.000,-8.54,Sales Tax - Order #80754
01/17/2026,SO-#80753,1061.000,34.74,Credit Card/PayPal - Order #80753
01/17/2026,SO-#80753,3000.000,-32.40,Sales - Order #80753
01/17/2026,SO-#80753,2110.000,-2.34,Sales Tax - Order #80753
01/17/2026,SO-#80752,1051.000,64.54,Cash/Check - Order #80752
01/17/2026,SO-#80752,3000.000,-64.54,Sales - Order #80752
01/17/2026,SO-#80751,1061.000,74.83,Credit Card/PayPal - Order #80751
01/17/2026,SO-#80751,3000.000,-74.83,Sales - Order #80751
01/17/2026,SO-#80750,2320.000,50.00,Gift Cards/Gift Certificates - Order #80750
01/17/2026,SO-#80750,1061.000,18.15,Credit Card/PayPal - Order #80750
01/17/2026,SO-#80750,3000.000,-63.54,Sales - Order #80750
01/17/2026,SO-#80750,2110.000,-4.61,Sales Tax - Order #80750
01/17/2026,SO-#80749,1061.000,23.81,Credit Card/PayPal - Order #80749
01/17/2026,SO-#80749,3000.000,-22.20,Sales - Order #80749
01/17/2026,SO-#80749,2110.000,-1.61,Sales Tax - Order #80749
01/17/2026,SO-#80748,1061.000,64.54,Credit Card/PayPal - Order #80748
01/17/2026,SO-#80748,3000.000,-64.54,Sales - Order #80748
01/17/2026,SO-#80747,1061.000,183.33,Credit Card/PayPal - Order #80747
01/17/2026,SO-#80747,3000.000,-170.90,Sales - Order #80747
01/17/2026,SO-#80747,2110.000,-12.43,Sales Tax - Order #80747
01/17/2026,SO-#80746,1051.000,100.00,Cash/Check - Order #80746
01/17/2026,SO-#80746,1061.000,49.66,Credit Card/PayPal - Order #80746
01/17/2026,SO-#80746,3000.000,-149.66,Sales - Order #80746
01/17/2026,SO-#80745,1061.000,26.33,Credit Card/PayPal - Order #80745
01/17/2026,SO-#80745,3000.000,-25.24,Sales - Order #80745
01/17/2026,SO-#80745,2110.000,-1.09,Sales Tax - Order #80745
01/17/2026,SO-#80744,1061.000,29.98,Credit Card/PayPal - Order #80744
01/17/2026,SO-#80744,3000.000,-27.95,Sales - Order #80744
01/17/2026,SO-#80744,2110.000,-2.03,Sales Tax - Order #80744
01/17/2026,SO-#80742,2320.000,100.00,Gift Cards/Gift Certificates - Order #80742
01/17/2026,SO-#80742,2320.000,50.00,Gift Cards/Gift Certificates - Order #80742
01/17/2026,SO-#80742,1051.000,93.30,Cash/Check - Order #80742
01/17/2026,SO-#80742,3000.000,-226.85,Sales - Order #80742
01/17/2026,SO-#80742,2110.000,-16.45,Sales Tax - Order #80742
01/17/2026,SO-#80741,1061.000,77.54,Credit Card/PayPal - Order #80741
01/17/2026,SO-#80741,3000.000,-140.95,Sales - Order #80741
01/17/2026,SO-#80741,3034.000,68.66,Discount - Order #80741
01/17/2026,SO-#80741,2110.000,-5.25,Sales Tax - Order #80741
01/17/2026,SO-#80738,1051.000,98.61,Cash/Check - Order #80738
01/17/2026,SO-#80738,3000.000,-91.90,Sales - Order #80738
01/17/2026,SO-#80738,2110.000,-6.71,Sales Tax - Order #80738
01/17/2026,SO-#80737,1061.000,30.66,Credit Card/PayPal - Order #80737
01/17/2026,SO-#80737,3000.000,-28.60,Sales - Order #80737
01/17/2026,SO-#80737,2110.000,-2.06,Sales Tax - Order #80737
01/17/2026,SO-#80736,1061.000,26.77,Credit Card/PayPal - Order #80736
01/17/2026,SO-#80736,3000.000,-24.95,Sales - Order #80736
01/17/2026,SO-#80736,2110.000,-1.82,Sales Tax - Order #80736
01/17/2026,SO-#80735,1051.000,51.39,Cash/Check - Order #80735
01/17/2026,SO-#80735,3000.000,-47.90,Sales - Order #80735
01/17/2026,SO-#80735,2110.000,-3.49,Sales Tax - Order #80735
01/17/2026,SO-#80734,2340.000,10.67,Store Credit/Store Credit Adjustments - Order #80734
01/17/2026,SO-#80734,1061.000,33.66,Credit Card/PayPal - Order #80734
01/17/2026,SO-#80734,3000.000,-58.95,Sales - Order #80734
01/17/2026,SO-#80734,3034.000,17.63,Discount - Order #80734
01/17/2026,SO-#80734,2110.000,-3.01,Sales Tax - Order #80734
01/17/2026,SO-#80732,1061.000,27.20,Credit Card/PayPal - Order #80732
01/17/2026,SO-#80732,3000.000,-25.35,Sales - Order #80732
01/17/2026,SO-#80732,2110.000,-1.85,Sales Tax - Order #80732
01/17/2026,SO-#80731,1061.000,424.47,Credit Card/PayPal - Order #80731
01/17/2026,SO-#80731,3000.000,-455.00,Sales - Order #80731
01/17/2026,SO-#80731,3034.000,68.25,Discount - Order #80731
01/17/2026,SO-#80731,2110.000,-37.72,Sales Tax - Order #80731
01/17/2026,SO-#80730,1061.000,75.62,Credit Card/PayPal - Order #80730
01/17/2026,SO-#80730,3000.000,-82.90,Sales - Order #80730
01/17/2026,SO-#80730,3034.000,12.43,Discount - Order #80730
01/17/2026,SO-#80730,2110.000,-5.15,Sales Tax - Order #80730
01/17/2026,SO-#80729,1061.000,160.60,Credit Card/PayPal - Order #80729
01/17/2026,SO-#80729,3000.000,-176.10,Sales - Order #80729
01/17/2026,SO-#80729,3034.000,26.36,Discount - Order #80729
01/17/2026,SO-#80729,2110.000,-10.86,Sales Tax - Order #80729
01/17/2026,SO-#80728,1061.000,1686.68,Credit Card/PayPal - Order #80728
01/17/2026,SO-#80728,3000.000,-1572.65,Sales - Order #80728
01/17/2026,SO-#80728,2110.000,-114.03,Sales Tax - Order #80728
01/17/2026,SO-#80727,1061.000,66.92,Credit Card/PayPal - Order #80727
01/17/2026,SO-#80727,3000.000,-73.30,Sales - Order #80727
01/17/2026,SO-#80727,3034.000,10.92,Discount - Order #80727
01/17/2026,SO-#80727,2110.000,-4.54,Sales Tax - Order #80727
01/17/2026,SO-#80726,1061.000,21.19,Credit Card/PayPal - Order #80726
01/17/2026,SO-#80726,3000.000,-19.75,Sales - Order #80726
01/17/2026,SO-#80726,2110.000,-1.44,Sales Tax - Order #80726
01/17/2026,SO-#80725,1061.000,69.13,Credit Card/PayPal - Order #80725
01/17/2026,SO-#80725,3000.000,-64.45,Sales - Order #80725
01/17/2026,SO-#80725,2110.000,-4.68,Sales Tax - Order #80725
01/17/2026,SO-#80723,1061.000,79.72,Credit Card/PayPal - Order #80723
01/17/2026,SO-#80723,3000.000,-115.70,Sales - Order #80723
01/17/2026,SO-#80723,3034.000,41.37,Discount - Order #80723
01/17/2026,SO-#80723,2110.000,-5.39,Sales Tax - Order #80723
01/17/2026,SO-#80722,1061.000,155.02,Credit Card/PayPal - Order #80722
01/17/2026,SO-#80722,3000.000,-144.53,Sales - Order #80722
01/17/2026,SO-#80722,2110.000,-10.49,Sales Tax - Order #80722
01/17/2026,SO-#80669,1061.000,27.35,Credit Card/PayPal - Order #80669
01/17/2026,SO-#80669,3000.000,-20.85,Sales - Order #80669
01/17/2026,SO-#80669,3040.000,-6.50,Shipping - Order #80669
01/17/2026,SO-#80655,1061.000,26.45,Credit Card/PayPal - Order #80655
01/17/2026,SO-#80655,3000.000,-19.95,Sales - Order #80655
01/17/2026,SO-#80655,3040.000,-6.50,Shipping - Order #80655
01/17/2026,SO-#80631,1061.000,88.21,Credit Card/PayPal - Order #80631
01/17/2026,SO-#80631,3000.000,-79.85,Sales - Order #80631
01/17/2026,SO-#80631,2110.000,-9.08,Sales Tax - Order #80631
