Date,Reference,Account,Amount,Memo
01/18/2026,SO-#80821,1051.000,64.54,Cash/Check - Order #80821
01/18/2026,SO-#80821,3000.000,-64.54,Sales - Order #80821
01/18/2026,SO-#80820,1061.000,42.17,Credit Card/PayPal - Order #80820
01/18/2026,SO-#80820,3000.000,-39.30,Sales - Order #80820
01/18/2026,SO-#80820,2110.000,-2.87,Sales Tax - Order #80820
01/18/2026,SO-#80816,1061.000,122.34,Credit Card/PayPal - Order #80816
01/18/2026,SO-#80816,3000.000,-114.05,Sales - Order #80816
01/18/2026,SO-#80816,2110.000,-8.29,Sales Tax - Order #80816
01/18/2026,SO-#80815,1061.000,94.76,Credit Card/PayPal - Order #80815
01/18/2026,SO-#80815,3000.000,-88.34,Sales - Order #80815
01/18/2026,SO-#80815,2110.000,-6.42,Sales Tax - Order #80815
01/18/2026,SO-#80814,1061.000,24.66,Credit Card/PayPal - Order #80814
01/18/2026,SO-#80814,3000.000,-22.99,Sales - Order #80814
01/18/2026,SO-#80814,2110.000,-1.67,Sales Tax - Order #80814
01/18/2026,SO-#80813,1061.000,89.98,Credit Card/PayPal - Order #80813
01/18/2026,SO-#80813,3000.000,-83.89,Sales - Order #80813
01/18/2026,SO-#80813,2110.000,-6.09,Sales Tax - Order #80813
01/18/2026,SO-#80812,1061.000,48.08,Credit Card/PayPal - Order #80812
01/18/2026,SO-#80812,3000.000,-44.80,Sales - Order #80812
01/18/2026,SO-#80812,2110.000,-3.28,Sales Tax - Order #80812
01/18/2026,SO-#80811,1061.000,31.96,Credit Card/PayPal - Order #80811
01/18/2026,SO-#80811,3000.000,-29.80,Sales - Order #80811
01/18/2026,SO-#80811,2110.000,-2.16,Sales Tax - Order #80811
01/18/2026,SO-#80810,1061.000,74.83,Credit Card/PayPal - Order #80810
01/18/2026,SO-#80810,3000.000,-74.83,Sales - Order #80810
01/18/2026,SO-#80808,1061.000,27.86,Credit Card/PayPal - Order #80808
01/18/2026,SO-#80808,3000.000,-28.85,Sales - Order #80808
01/18/2026,SO-#80808,3034.000,2.88,Discount - Order #80808
01/18/2026,SO-#80808,2110.000,-1.89,Sales Tax - Order #80808
01/18/2026,SO-#80807,1061.000,72.52,Credit Card/PayPal - Order #80807
01/18/2026,SO-#80807,3000.000,-67.59,Sales - Order #80807
01/18/2026,SO-#80807,2110.000,-4.93,Sales Tax - Order #80807
01/18/2026,SO-#80806,1061.000,53.57,Credit Card/PayPal - Order #80806
01/18/2026,SO-#80806,3000.000,-49.95,Sales - Order #80806
01/18/2026,SO-#80806,2110.000,-3.62,Sales Tax - Order #80806
01/18/2026,SO-#80805,1061.000,37.49,Credit Card/PayPal - Order #80805
01/18/2026,SO-#80805,3000.000,-34.95,Sales - Order #80805
01/18/2026,SO-#80805,2110.000,-2.54,Sales Tax - Order #80805
01/18/2026,SO-#80804,1061.000,100.00,Credit Card/PayPal - Order #80804
01/18/2026,SO-#80804,3000.000,-100.00,Sales - Order #80804
01/18/2026,SO-#80803,1051.000,90.75,Cash/Check - Order #80803
01/18/2026,SO-#80803,3000.000,-84.54,Sales - Order #80803
01/18/2026,SO-#80803,2110.000,-6.21,Sales Tax - Order #80803
01/18/2026,SO-#80800,1061.000,128.41,Credit Card/PayPal - Order #80800
01/18/2026,SO-#80800,3000.000,-119.70,Sales - Order #80800
01/18/2026,SO-#80800,2110.000,-8.71,Sales Tax - Order #80800
01/18/2026,SO-#80798,1061.000,536.20,Credit Card/PayPal - Order #80798
01/18/2026,SO-#80798,3000.000,-699.95,Sales - Order #80798
01/18/2026,SO-#80798,3034.000,200.00,Discount - Order #80798
01/18/2026,SO-#80798,2110.000,-36.25,Sales Tax - Order #80798
01/18/2026,SO-#80797,1061.000,965.15,Credit Card/PayPal - Order #80797
01/18/2026,SO-#80797,3000.000,-199.95,Sales - Order #80797
01/18/2026,SO-#80797,2110.000,-65.25,Sales Tax - Order #80797
01/18/2026,RF-#80797,3035.000,750.70,Refund - Order #80797
01/18/2026,RF-#80797,1061.000,-750.70,Refund Credit Card/PayPal - Order #80797
01/18/2026,SO-#80793,1061.000,46.53,Credit Card/PayPal - Order #80793
01/18/2026,SO-#80793,3000.000,-43.35,Sales - Order #80793
01/18/2026,SO-#80793,2110.000,-3.18,Sales Tax - Order #80793
01/18/2026,SO-#80792,1051.000,58.89,Cash/Check - Order #80792
01/18/2026,SO-#80792,3000.000,-73.15,Sales - Order #80792
01/18/2026,SO-#80792,3034.000,18.22,Discount - Order #80792
01/18/2026,SO-#80792,2110.000,-3.96,Sales Tax - Order #80792
01/18/2026,SO-#80790,1061.000,27.65,Credit Card/PayPal - Order #80790
01/18/2026,SO-#80790,3000.000,-21.15,Sales - Order #80790
01/18/2026,SO-#80790,3040.000,-6.50,Shipping - Order #80790
