Date,Reference,Account,Amount,Memo
01/23/2026,SO-#81064,1051.000,274.32,Cash/Check - Order #81064
01/23/2026,SO-#81064,3000.000,-290.25,Sales - Order #81064
01/23/2026,SO-#81064,3034.000,34.48,Discount - Order #81064
01/23/2026,SO-#81064,2110.000,-18.55,Sales Tax - Order #81064
01/23/2026,SO-#81063,1061.000,306.84,Credit Card/PayPal - Order #81063
01/23/2026,SO-#81063,3000.000,-286.05,Sales - Order #81063
01/23/2026,SO-#81063,2110.000,-20.79,Sales Tax - Order #81063
01/23/2026,SO-#81062,1061.000,43.86,Credit Card/PayPal - Order #81062
01/23/2026,SO-#81062,3000.000,-40.90,Sales - Order #81062
01/23/2026,SO-#81062,2110.000,-2.96,Sales Tax - Order #81062
01/23/2026,SO-#81060,1061.000,37.09,Credit Card/PayPal - Order #81060
01/23/2026,SO-#81060,3000.000,-35.28,Sales - Order #81060
01/23/2026,SO-#81060,2110.000,-1.81,Sales Tax - Order #81060
01/23/2026,SO-#81059,1051.000,14.22,Cash/Check - Order #81059
01/23/2026,SO-#81059,3000.000,-14.22,Sales - Order #81059
01/23/2026,SO-#81058,1061.000,24.38,Credit Card/PayPal - Order #81058
01/23/2026,SO-#81058,3000.000,-34.80,Sales - Order #81058
01/23/2026,SO-#81058,3034.000,10.42,Discount - Order #81058
01/23/2026,SO-#81056,1061.000,33.83,Credit Card/PayPal - Order #81056
01/23/2026,SO-#81056,3000.000,-32.93,Sales - Order #81056
01/23/2026,SO-#81056,2110.000,-0.90,Sales Tax - Order #81056
01/23/2026,SO-#81055,1051.000,24.58,Cash/Check - Order #81055
01/23/2026,SO-#81055,3000.000,-28.65,Sales - Order #81055
01/23/2026,SO-#81055,3034.000,5.73,Discount - Order #81055
01/23/2026,SO-#81055,2110.000,-1.66,Sales Tax - Order #81055
01/23/2026,SO-#81054,1061.000,155.84,Credit Card/PayPal - Order #81054
01/23/2026,SO-#81054,3000.000,-170.94,Sales - Order #81054
01/23/2026,SO-#81054,3034.000,25.63,Discount - Order #81054
01/23/2026,SO-#81054,2110.000,-10.53,Sales Tax - Order #81054
01/23/2026,SO-#81053,1061.000,237.12,Credit Card/PayPal - Order #81053
01/23/2026,SO-#81053,3000.000,-276.25,Sales - Order #81053
01/23/2026,SO-#81053,3034.000,39.13,Discount - Order #81053
01/23/2026,SO-#81052,4005.000,10.00,Inventory Adjustment/Memo Offset/Transfer Offset - Order #81052
01/23/2026,SO-#81052,3000.000,-24.95,Sales - Order #81052
01/23/2026,SO-#81052,3034.000,14.95,Discount - Order #81052
01/23/2026,SO-#81051,4005.000,82.94,Inventory Adjustment/Memo Offset/Transfer Offset - Order #81051
01/23/2026,SO-#81051,3000.000,-127.30,Sales - Order #81051
01/23/2026,SO-#81051,3034.000,44.36,Discount - Order #81051
01/23/2026,SO-#81050,1061.000,24.80,Credit Card/PayPal - Order #81050
01/23/2026,SO-#81050,3000.000,-27.20,Sales - Order #81050
01/23/2026,SO-#81050,3034.000,4.08,Discount - Order #81050
01/23/2026,SO-#81050,2110.000,-1.68,Sales Tax - Order #81050
01/23/2026,SO-#81049,1061.000,3.39,Credit Card/PayPal - Order #81049
01/23/2026,SO-#81049,3000.000,-4.50,Sales - Order #81049
01/23/2026,SO-#81049,3034.000,1.34,Discount - Order #81049
01/23/2026,SO-#81049,2110.000,-0.23,Sales Tax - Order #81049
01/23/2026,SO-#81047,1061.000,1586.79,Credit Card/PayPal - Order #81047
01/23/2026,SO-#81047,3000.000,-1738.74,Sales - Order #81047
01/23/2026,SO-#81047,3034.000,259.20,Discount - Order #81047
01/23/2026,SO-#81047,2110.000,-107.25,Sales Tax - Order #81047
01/23/2026,SO-#81045,2320.000,100.00,Gift Cards/Gift Certificates - Order #81045
01/23/2026,SO-#81045,2320.000,98.00,Gift Cards/Gift Certificates - Order #81045
01/23/2026,SO-#81045,3000.000,-198.00,Sales - Order #81045
01/23/2026,SO-#81044,1051.000,24.15,Cash/Check - Order #81044
01/23/2026,SO-#81044,3000.000,-22.50,Sales - Order #81044
01/23/2026,SO-#81044,2110.000,-1.65,Sales Tax - Order #81044
01/23/2026,SO-#81043,1061.000,20.00,Credit Card/PayPal - Order #81043
01/23/2026,SO-#81043,3000.000,-20.00,Sales - Order #81043
01/23/2026,SO-#81042,1061.000,2495.00,Credit Card/PayPal - Order #81042
01/23/2026,SO-#81042,3000.000,-2495.00,Sales - Order #81042
01/23/2026,SO-#81035,1061.000,819.55,Credit Card/PayPal - Order #81035
01/23/2026,SO-#81035,3000.000,-899.00,Sales - Order #81035
01/23/2026,SO-#81035,3034.000,134.85,Discount - Order #81035
01/23/2026,SO-#81035,2110.000,-55.40,Sales Tax - Order #81035
01/23/2026,SO-#81033,1061.000,21.34,Credit Card/PayPal - Order #81033
01/23/2026,SO-#81033,3000.000,-19.90,Sales - Order #81033
01/23/2026,SO-#81033,2110.000,-1.44,Sales Tax - Order #81033
01/23/2026,SO-#81032,1051.000,150.15,Cash/Check - Order #81032
01/23/2026,SO-#81032,3000.000,-140.00,Sales - Order #81032
01/23/2026,SO-#81032,2110.000,-10.15,Sales Tax - Order #81032
01/23/2026,SO-#81031,2340.000,2.25,Store Credit/Store Credit Adjustments - Order #81031
01/23/2026,SO-#81031,3000.000,-2.50,Sales - Order #81031
01/23/2026,SO-#81031,3034.000,0.25,Discount - Order #81031
01/23/2026,SO-#81030,1061.000,11.75,Credit Card/PayPal - Order #81030
01/23/2026,SO-#81030,3000.000,-10.95,Sales - Order #81030
01/23/2026,SO-#81030,2110.000,-0.80,Sales Tax - Order #81030
01/23/2026,SO-#81028,1061.000,21.97,Credit Card/PayPal - Order #81028
01/23/2026,SO-#81028,3000.000,-21.19,Sales - Order #81028
01/23/2026,SO-#81028,2110.000,-0.78,Sales Tax - Order #81028
01/23/2026,SO-#81026,1061.000,91.12,Credit Card/PayPal - Order #81026
01/23/2026,SO-#81026,3000.000,-99.95,Sales - Order #81026
01/23/2026,SO-#81026,3034.000,14.99,Discount - Order #81026
01/23/2026,SO-#81026,2110.000,-6.16,Sales Tax - Order #81026
01/23/2026,SO-#81024,1061.000,329.87,Credit Card/PayPal - Order #81024
01/23/2026,SO-#81024,3000.000,-359.85,Sales - Order #81024
01/23/2026,SO-#81024,3034.000,29.98,Discount - Order #81024
01/23/2026,SO-#81022,2340.000,99.95,Store Credit/Store Credit Adjustments - Order #81022
01/23/2026,SO-#81022,3000.000,-99.95,Sales - Order #81022
01/23/2026,SO-#81021,2340.000,99.95,Store Credit/Store Credit Adjustments - Order #81021
01/23/2026,SO-#81021,3000.000,0.00,Sales - Order #81021
01/23/2026,RF-#81021,3035.000,99.95,Refund - Order #81021
01/23/2026,RF-#81021,2340.000,-99.95,Refund Store Credit/Store Credit Adjustments - Order #81021
01/23/2026,SO-#81019,1061.000,127.46,Credit Card/PayPal - Order #81019
01/23/2026,SO-#81019,3000.000,-149.95,Sales - Order #81019
01/23/2026,SO-#81019,3034.000,22.49,Discount - Order #81019
01/23/2026,SO-#81018,1061.000,10.67,Credit Card/PayPal - Order #81018
01/23/2026,SO-#81018,3000.000,-9.95,Sales - Order #81018
01/23/2026,SO-#81018,2110.000,-0.72,Sales Tax - Order #81018
01/23/2026,SO-#81017,1061.000,26.80,Credit Card/PayPal - Order #81017
01/23/2026,SO-#81017,3000.000,-24.99,Sales - Order #81017
01/23/2026,SO-#81017,2110.000,-1.81,Sales Tax - Order #81017
01/23/2026,SO-#81016,2320.000,43.19,Gift Cards/Gift Certificates - Order #81016
01/23/2026,SO-#81016,3000.000,-57.50,Sales - Order #81016
01/23/2026,SO-#81016,3034.000,17.25,Discount - Order #81016
01/23/2026,SO-#81016,2110.000,-2.94,Sales Tax - Order #81016
01/23/2026,SO-#81015,2340.000,63.07,Store Credit/Store Credit Adjustments - Order #81015
01/23/2026,SO-#81015,3000.000,-84.00,Sales - Order #81015
01/23/2026,SO-#81015,3034.000,25.20,Discount - Order #81015
01/23/2026,SO-#81015,2110.000,-4.27,Sales Tax - Order #81015
01/23/2026,SO-#81014,1061.000,74.83,Credit Card/PayPal - Order #81014
01/23/2026,SO-#81014,3000.000,-74.83,Sales - Order #81014
01/23/2026,SO-#81011,1061.000,32.72,Credit Card/PayPal - Order #81011
01/23/2026,SO-#81011,3000.000,-24.00,Sales - Order #81011
01/23/2026,SO-#81011,2110.000,-2.22,Sales Tax - Order #81011
01/23/2026,SO-#81011,3040.000,-6.50,Shipping - Order #81011
01/23/2026,SO-#80999,1061.000,58.38,Credit Card/PayPal - Order #80999
01/23/2026,SO-#80999,3000.000,-62.90,Sales - Order #80999
01/23/2026,SO-#80999,3034.000,9.43,Discount - Order #80999
01/23/2026,SO-#80999,2110.000,-4.91,Sales Tax - Order #80999
01/23/2026,SO-#80993,1061.000,74.80,Credit Card/PayPal - Order #80993
01/23/2026,SO-#80993,3000.000,-96.00,Sales - Order #80993
01/23/2026,SO-#80993,3034.000,21.20,Discount - Order #80993
01/23/2026,SO-#80990,1061.000,191.70,Credit Card/PayPal - Order #80990
01/23/2026,SO-#80990,3000.000,-205.70,Sales - Order #80990
