Date,Reference,Account,Amount,Memo
01/09/2026,SO-#80364,1061.000,47.47,Credit Card/PayPal - Order #80364
01/09/2026,SO-#80364,3000.000,-53.45,Sales - Order #80364
01/09/2026,SO-#80364,3034.000,9.19,Discount - Order #80364
01/09/2026,SO-#80364,2110.000,-3.21,Sales Tax - Order #80364
01/09/2026,SO-#80363,1061.000,69.96,Credit Card/PayPal - Order #80363
01/09/2026,SO-#80363,3000.000,-65.15,Sales - Order #80363
01/09/2026,SO-#80363,2110.000,-4.81,Sales Tax - Order #80363
01/09/2026,SO-#80362,1061.000,25.74,Credit Card/PayPal - Order #80362
01/09/2026,SO-#80362,3000.000,-30.00,Sales - Order #80362
01/09/2026,SO-#80362,3034.000,6.00,Discount - Order #80362
01/09/2026,SO-#80362,2110.000,-1.74,Sales Tax - Order #80362
01/09/2026,SO-#80361,2320.000,35.35,Gift Cards/Gift Certificates - Order #80361
01/09/2026,SO-#80361,3000.000,-32.95,Sales - Order #80361
01/09/2026,SO-#80361,2110.000,-2.40,Sales Tax - Order #80361
01/09/2026,SO-#80360,1061.000,588.72,Credit Card/PayPal - Order #80360
01/09/2026,SO-#80360,3000.000,-748.90,Sales - Order #80360
01/09/2026,SO-#80360,3034.000,200.00,Discount - Order #80360
01/09/2026,SO-#80360,2110.000,-39.82,Sales Tax - Order #80360
01/09/2026,SO-#80359,1061.000,68.45,Credit Card/PayPal - Order #80359
01/09/2026,SO-#80359,3000.000,-89.20,Sales - Order #80359
01/09/2026,SO-#80359,3034.000,25.38,Discount - Order #80359
01/09/2026,SO-#80359,2110.000,-4.63,Sales Tax - Order #80359
01/09/2026,SO-#80358,2340.000,10.29,Store Credit/Store Credit Adjustments - Order #80358
01/09/2026,SO-#80358,3000.000,-10.29,Sales - Order #80358
01/09/2026,SO-#80357,1061.000,39.65,Credit Card/PayPal - Order #80357
01/09/2026,SO-#80357,3000.000,-36.95,Sales - Order #80357
01/09/2026,SO-#80357,2110.000,-2.70,Sales Tax - Order #80357
01/09/2026,SO-#80356,2320.000,139.37,Gift Cards/Gift Certificates - Order #80356
01/09/2026,SO-#80356,3000.000,-129.95,Sales - Order #80356
01/09/2026,SO-#80356,2110.000,-9.42,Sales Tax - Order #80356
01/09/2026,SO-#80355,2320.000,50.00,Gift Cards/Gift Certificates - Order #80355
01/09/2026,SO-#80355,1061.000,216.43,Credit Card/PayPal - Order #80355
01/09/2026,SO-#80355,3000.000,-273.30,Sales - Order #80355
01/09/2026,SO-#80355,3034.000,40.99,Discount - Order #80355
01/09/2026,SO-#80355,2110.000,-18.01,Sales Tax - Order #80355
01/09/2026,RF-#80355,3035.000,17.27,Refund - Order #80355
01/09/2026,RF-#80355,2340.000,-17.27,Refund Store Credit/Store Credit Adjustments - Order #80355
01/09/2026,SO-#80354,1061.000,108.27,Credit Card/PayPal - Order #80354
01/09/2026,SO-#80354,3000.000,-100.95,Sales - Order #80354
01/09/2026,SO-#80354,2110.000,-7.32,Sales Tax - Order #80354
01/09/2026,SO-#80353,1061.000,136.20,Credit Card/PayPal - Order #80353
01/09/2026,SO-#80353,3000.000,-136.20,Sales - Order #80353
01/09/2026,SO-#80352,1061.000,49.11,Credit Card/PayPal - Order #80352
01/09/2026,SO-#80352,3000.000,-53.80,Sales - Order #80352
