Date,Reference,Account,Amount,Memo
01/16/2026,SO-#80717,1061.000,42.97,Credit Card/PayPal - Order #80717
01/16/2026,SO-#80717,3000.000,-44.45,Sales - Order #80717
01/16/2026,SO-#80717,3034.000,4.39,Discount - Order #80717
01/16/2026,SO-#80717,2110.000,-2.91,Sales Tax - Order #80717
01/16/2026,SO-#80715,1061.000,96.60,Credit Card/PayPal - Order #80715
01/16/2026,SO-#80715,3000.000,-128.45,Sales - Order #80715
01/16/2026,SO-#80715,3034.000,38.38,Discount - Order #80715
01/16/2026,SO-#80715,2110.000,-6.53,Sales Tax - Order #80715
01/16/2026,SO-#80713,1061.000,50.81,Credit Card/PayPal - Order #80713
01/16/2026,SO-#80713,3000.000,-40.74,Sales - Order #80713
01/16/2026,SO-#80713,2110.000,-3.57,Sales Tax - Order #80713
01/16/2026,SO-#80713,3040.000,-6.50,Shipping - Order #80713
01/16/2026,SO-#80712,1061.000,61.66,Credit Card/PayPal - Order #80712
01/16/2026,SO-#80712,3000.000,-57.50,Sales - Order #80712
01/16/2026,SO-#80712,2110.000,-4.16,Sales Tax - Order #80712
01/16/2026,SO-#80711,1061.000,120.29,Credit Card/PayPal - Order #80711
01/16/2026,SO-#80711,3000.000,-112.15,Sales - Order #80711
01/16/2026,SO-#80711,2110.000,-8.14,Sales Tax - Order #80711
01/16/2026,SO-#80710,1061.000,74.24,Credit Card/PayPal - Order #80710
01/16/2026,SO-#80710,3000.000,-69.20,Sales - Order #80710
01/16/2026,SO-#80710,2110.000,-5.04,Sales Tax - Order #80710
01/16/2026,SO-#80708,1061.000,55.00,Credit Card/PayPal - Order #80708
01/16/2026,SO-#80708,3000.000,-55.00,Sales - Order #80708
01/16/2026,SO-#80707,1061.000,3.17,Credit Card/PayPal - Order #80707
01/16/2026,SO-#80707,3000.000,-2.95,Sales - Order #80707
01/16/2026,SO-#80707,2110.000,-0.22,Sales Tax - Order #80707
01/16/2026,SO-#80706,2320.000,10.54,Gift Cards/Gift Certificates - Order #80706
01/16/2026,SO-#80706,1061.000,22.55,Credit Card/PayPal - Order #80706
01/16/2026,SO-#80706,3000.000,-30.85,Sales - Order #80706
01/16/2026,SO-#80706,2110.000,-2.24,Sales Tax - Order #80706
01/16/2026,SO-#80705,1061.000,26.00,Credit Card/PayPal - Order #80705
01/16/2026,SO-#80705,3000.000,-8.95,Sales - Order #80705
01/16/2026,SO-#80705,2110.000,-1.60,Sales Tax - Order #80705
01/16/2026,SO-#80705,3040.000,-6.50,Shipping - Order #80705
