Date,Reference,Account,Amount,Memo
01/05/2026,SO-#80181,1061.000,29.96,Credit Card/PayPal - Order #80181
01/05/2026,SO-#80181,3000.000,-121.40,Sales - Order #80181
01/05/2026,SO-#80181,3034.000,93.48,Discount - Order #80181
01/05/2026,SO-#80181,2110.000,-2.04,Sales Tax - Order #80181
01/05/2026,SO-#80180,1051.000,30.76,Cash/Check - Order #80180
01/05/2026,SO-#80180,3000.000,-31.85,Sales - Order #80180
01/05/2026,SO-#80180,3034.000,3.18,Discount - Order #80180
01/05/2026,SO-#80180,2110.000,-2.09,Sales Tax - Order #80180
01/05/2026,SO-#80179,1061.000,449.88,Credit Card/PayPal - Order #80179
01/05/2026,SO-#80179,3000.000,-419.45,Sales - Order #80179
01/05/2026,SO-#80179,2110.000,-30.43,Sales Tax - Order #80179
01/05/2026,SO-#80177,1061.000,189.79,Credit Card/PayPal - Order #80177
01/05/2026,SO-#80177,3000.000,-220.39,Sales - Order #80177
01/05/2026,SO-#80177,3034.000,44.07,Discount - Order #80177
01/05/2026,SO-#80177,2110.000,-13.47,Sales Tax - Order #80177
01/05/2026,SO-#80176,2340.000,5.97,Store Credit/Store Credit Adjustments - Order #80176
01/05/2026,SO-#80176,3000.000,-7.95,Sales - Order #80176
01/05/2026,SO-#80176,3034.000,2.38,Discount - Order #80176
01/05/2026,SO-#80176,2110.000,-0.40,Sales Tax - Order #80176
01/05/2026,SO-#80175,1061.000,149.08,Credit Card/PayPal - Order #80175
01/05/2026,SO-#80175,3000.000,-309.00,Sales - Order #80175
01/05/2026,SO-#80175,3034.000,170.00,Discount - Order #80175
01/05/2026,SO-#80175,2110.000,-10.08,Sales Tax - Order #80175
01/05/2026,SO-#80174,1061.000,117.60,Credit Card/PayPal - Order #80174
01/05/2026,SO-#80174,3000.000,-129.00,Sales - Order #80174
01/05/2026,SO-#80174,3034.000,19.35,Discount - Order #80174
01/05/2026,SO-#80174,2110.000,-7.95,Sales Tax - Order #80174
01/05/2026,SO-#80173,1051.000,42.37,Cash/Check - Order #80173
01/05/2026,SO-#80173,3000.000,-39.50,Sales - Order #80173
01/05/2026,SO-#80173,2110.000,-2.87,Sales Tax - Order #80173
01/05/2026,SO-#80171,1051.000,4.78,Cash/Check - Order #80171
01/05/2026,SO-#80171,3000.000,-4.95,Sales - Order #80171
01/05/2026,SO-#80171,3034.000,0.49,Discount - Order #80171
01/05/2026,SO-#80171,2110.000,-0.32,Sales Tax - Order #80171
01/05/2026,SO-#80170,1061.000,11.58,Credit Card/PayPal - Order #80170
01/05/2026,SO-#80170,3000.000,-12.00,Sales - Order #80170
01/05/2026,SO-#80170,3034.000,1.20,Discount - Order #80170
01/05/2026,SO-#80170,2110.000,-0.78,Sales Tax - Order #80170
01/05/2026,SO-#80168,1051.000,49.47,Cash/Check - Order #80168
01/05/2026,SO-#80168,3000.000,-46.10,Sales - Order #80168
01/05/2026,SO-#80168,2110.000,-3.37,Sales Tax - Order #80168
01/05/2026,SO-#80166,1061.000,44.07,Credit Card/PayPal - Order #80166
