Date,Reference,Account,Amount,Memo
01/21/2026,SO-#80961,2320.000,10.27,Gift Cards/Gift Certificates - Order #80961
01/21/2026,SO-#80961,3000.000,-11.95,Sales - Order #80961
01/21/2026,SO-#80961,3034.000,2.39,Discount - Order #80961
01/21/2026,SO-#80961,2110.000,-0.71,Sales Tax - Order #80961
01/21/2026,SO-#80960,1061.000,41.19,Credit Card/PayPal - Order #80960
01/21/2026,SO-#80960,3000.000,-48.00,Sales - Order #80960
01/21/2026,SO-#80960,3034.000,9.60,Discount - Order #80960
01/21/2026,SO-#80960,2110.000,-2.79,Sales Tax - Order #80960
01/21/2026,SO-#80959,1061.000,60.58,Credit Card/PayPal - Order #80959
01/21/2026,SO-#80959,3000.000,-56.50,Sales - Order #80959
01/21/2026,SO-#80959,2110.000,-4.08,Sales Tax - Order #80959
01/21/2026,SO-#80958,1061.000,32.48,Credit Card/PayPal - Order #80958
01/21/2026,SO-#80958,3000.000,-30.25,Sales - Order #80958
01/21/2026,SO-#80958,2110.000,-2.23,Sales Tax - Order #80958
01/21/2026,SO-#80957,1061.000,117.78,Credit Card/PayPal - Order #80957
01/21/2026,SO-#80957,3000.000,-129.20,Sales - Order #80957
01/21/2026,SO-#80957,3034.000,19.38,Discount - Order #80957
01/21/2026,SO-#80957,2110.000,-7.96,Sales Tax - Order #80957
01/21/2026,SO-#80953,1061.000,57.53,Credit Card/PayPal - Order #80953
01/21/2026,SO-#80953,3000.000,-53.65,Sales - Order #80953
01/21/2026,SO-#80953,2110.000,-3.88,Sales Tax - Order #80953
01/21/2026,SO-#80951,1061.000,119.58,Credit Card/PayPal - Order #80951
01/21/2026,SO-#80951,3000.000,-116.53,Sales - Order #80951
01/21/2026,SO-#80951,2110.000,-3.05,Sales Tax - Order #80951
01/21/2026,SO-#80950,1051.000,12.86,Cash/Check - Order #80950
01/21/2026,SO-#80950,3000.000,-11.99,Sales - Order #80950
01/21/2026,SO-#80950,2110.000,-0.87,Sales Tax - Order #80950
01/21/2026,SO-#80949,1061.000,15.04,Credit Card/PayPal - Order #80949
01/21/2026,SO-#80949,3000.000,-14.00,Sales - Order #80949
01/21/2026,SO-#80949,2110.000,-1.04,Sales Tax - Order #80949
01/21/2026,SO-#80947,1061.000,21.40,Credit Card/PayPal - Order #80947
01/21/2026,SO-#80947,3000.000,-19.95,Sales - Order #80947
