Date,Reference,Account,Amount,Memo
01/07/2026,SO-#80268,1051.000,80.69,Cash/Check - Order #80268
01/07/2026,SO-#80268,3000.000,-88.50,Sales - Order #80268
01/07/2026,SO-#80268,3034.000,13.27,Discount - Order #80268
01/07/2026,SO-#80268,2110.000,-5.46,Sales Tax - Order #80268
01/07/2026,SO-#80267,1051.000,50.24,Cash/Check - Order #80267
01/07/2026,SO-#80267,3000.000,-50.30,Sales - Order #80267
01/07/2026,SO-#80267,3034.000,3.45,Discount - Order #80267
01/07/2026,SO-#80267,2110.000,-3.39,Sales Tax - Order #80267
01/07/2026,SO-#80265,2320.000,50.00,Gift Cards/Gift Certificates - Order #80265
01/07/2026,SO-#80265,1061.000,3.61,Credit Card/PayPal - Order #80265
01/07/2026,SO-#80265,3000.000,-49.99,Sales - Order #80265
01/07/2026,SO-#80265,2110.000,-3.62,Sales Tax - Order #80265
01/07/2026,SO-#80264,2320.000,19.14,Gift Cards/Gift Certificates - Order #80264
01/07/2026,SO-#80264,3000.000,-17.85,Sales - Order #80264
01/07/2026,SO-#80264,2110.000,-1.29,Sales Tax - Order #80264
01/07/2026,SO-#80262,1061.000,9.60,Credit Card/PayPal - Order #80262
01/07/2026,SO-#80262,3000.000,-8.95,Sales - Order #80262
01/07/2026,SO-#80262,2110.000,-0.65,Sales Tax - Order #80262
01/07/2026,SO-#80260,1061.000,2.63,Credit Card/PayPal - Order #80260
01/07/2026,SO-#80260,3000.000,-3.50,Sales - Order #80260
01/07/2026,SO-#80260,3034.000,1.05,Discount - Order #80260
01/07/2026,SO-#80260,2110.000,-0.18,Sales Tax - Order #80260
01/07/2026,SO-#80259,1061.000,882.51,Credit Card/PayPal - Order #80259
01/07/2026,SO-#80259,3000.000,-822.85,Sales - Order #80259
01/07/2026,SO-#80259,2110.000,-59.66,Sales Tax - Order #80259
01/07/2026,SO-#80257,1061.000,122.22,Credit Card/PayPal - Order #80257
01/07/2026,SO-#80257,3000.000,-123.23,Sales - Order #80257
01/07/2026,SO-#80257,3034.000,4.25,Discount - Order #80257
01/07/2026,SO-#80257,2110.000,-3.24,Sales Tax - Order #80257
01/07/2026,SO-#80255,1061.000,112.24,Credit Card/PayPal - Order #80255
01/07/2026,SO-#80255,3000.000,-299.00,Sales - Order #80255
01/07/2026,SO-#80255,3034.000,194.35,Discount - Order #80255
01/07/2026,SO-#80255,2110.000,-7.59,Sales Tax - Order #80255
01/07/2026,SO-#80254,1061.000,111.18,Credit Card/PayPal - Order #80254
01/07/2026,SO-#80254,3000.000,-103.60,Sales - Order #80254
01/07/2026,SO-#80254,2110.000,-7.58,Sales Tax - Order #80254
01/07/2026,SO-#80253,1061.000,77.83,Credit Card/PayPal - Order #80253
01/07/2026,SO-#80253,3000.000,-80.60,Sales - Order #80253
01/07/2026,SO-#80253,3034.000,8.04,Discount - Order #80253
01/07/2026,SO-#80253,2110.000,-5.27,Sales Tax - Order #80253
01/07/2026,SO-#80252,1061.000,406.74,Credit Card/PayPal - Order #80252
