Date,Reference,Account,Amount,Memo
01/04/2026,SO-#80137,1061.000,1.69,Credit Card/PayPal - Order #80137
01/04/2026,SO-#80137,3000.000,-2.25,Sales - Order #80137
01/04/2026,SO-#80137,3034.000,0.67,Discount - Order #80137
01/04/2026,SO-#80137,2110.000,-0.11,Sales Tax - Order #80137
01/04/2026,SO-#80135,1061.000,62.15,Credit Card/PayPal - Order #80135
01/04/2026,SO-#80135,3000.000,-57.93,Sales - Order #80135
01/04/2026,SO-#80135,2110.000,-4.22,Sales Tax - Order #80135
01/04/2026,SO-#80134,1051.000,227.09,Cash/Check - Order #80134
01/04/2026,SO-#80134,3000.000,-264.65,Sales - Order #80134
01/04/2026,SO-#80134,3034.000,52.93,Discount - Order #80134
01/04/2026,SO-#80134,2110.000,-15.37,Sales Tax - Order #80134
01/04/2026,SO-#80133,1061.000,28.54,Credit Card/PayPal - Order #80133
01/04/2026,SO-#80133,3000.000,-26.59,Sales - Order #80133
01/04/2026,SO-#80133,2110.000,-1.95,Sales Tax - Order #80133
01/04/2026,SO-#80132,2340.000,3.85,Store Credit/Store Credit Adjustments - Order #80132
01/04/2026,SO-#80132,1061.000,1.89,Credit Card/PayPal - Order #80132
01/04/2026,SO-#80132,3000.000,-5.95,Sales - Order #80132
01/04/2026,SO-#80132,3034.000,0.59,Discount - Order #80132
01/04/2026,SO-#80132,2110.000,-0.38,Sales Tax - Order #80132
01/04/2026,SO-#80131,1061.000,45.49,Credit Card/PayPal - Order #80131
01/04/2026,SO-#80131,3000.000,-42.40,Sales - Order #80131
01/04/2026,SO-#80131,2110.000,-3.09,Sales Tax - Order #80131
01/04/2026,SO-#80130,1051.000,37.45,Cash/Check - Order #80130
01/04/2026,SO-#80130,3000.000,-43.65,Sales - Order #80130
01/04/2026,SO-#80130,3034.000,8.73,Discount - Order #80130
01/04/2026,SO-#80130,2110.000,-2.53,Sales Tax - Order #80130
01/04/2026,SO-#80128,1061.000,126.18,Credit Card/PayPal - Order #80128
01/04/2026,SO-#80128,3000.000,-199.44,Sales - Order #80128
01/04/2026,SO-#80128,3034.000,81.82,Discount - Order #80128
01/04/2026,SO-#80128,2110.000,-8.56,Sales Tax - Order #80128
01/04/2026,SO-#80127,2340.000,6.77,Store Credit/Store Credit Adjustments - Order #80127
01/04/2026,SO-#80127,1061.000,59.95,Credit Card/PayPal - Order #80127
01/04/2026,SO-#80127,3000.000,-66.79,Sales - Order #80127
01/04/2026,SO-#80127,3034.000,0.22,Discount - Order #80127
01/04/2026,SO-#80127,2110.000,-0.15,Sales Tax - Order #80127
01/04/2026,SO-#80126,1061.000,61.53,Credit Card/PayPal - Order #80126
01/04/2026,SO-#80126,3000.000,-57.34,Sales - Order #80126
01/04/2026,SO-#80126,2110.000,-4.19,Sales Tax - Order #80126
01/04/2026,SO-#80125,1061.000,149.42,Credit Card/PayPal - Order #80125
01/04/2026,SO-#80125,3000.000,-199.04,Sales - Order #80125
01/04/2026,SO-#80125,3034.000,59.71,Discount - Order #80125
01/04/2026,SO-#80125,2110.000,-10.09,Sales Tax - Order #80125
01/04/2026,SO-#80124,1061.000,116.90,Credit Card/PayPal - Order #80124
01/04/2026,SO-#80124,3000.000,-299.00,Sales - Order #80124
01/04/2026,SO-#80124,3034.000,190.00,Discount - Order #80124
01/04/2026,SO-#80124,2110.000,-7.90,Sales Tax - Order #80124
01/04/2026,SO-#80123,4005.000,46.78,Inventory Adjustment/Memo Offset/Transfer Offset - Order #80123
01/04/2026,SO-#80123,3000.000,-85.90,Sales - Order #80123
01/04/2026,SO-#80123,3034.000,39.12,Discount - Order #80123
01/04/2026,SO-#80122,4005.000,92.12,Inventory Adjustment/Memo Offset/Transfer Offset - Order #80122
01/04/2026,SO-#80122,3000.000,0.00,Sales - Order #80122
01/04/2026,SO-#80122,2110.000,-6.22,Sales Tax - Order #80122
01/04/2026,RF-#80122,3035.000,92.12,Refund - Order #80122
01/04/2026,RF-#80122,4005.000,-92.12,Refund Inventory Adjustment/Memo Offset/Transfer Offset - Order #80122
01/04/2026,SO-#80121,1061.000,25.53,Credit Card/PayPal - Order #80121
01/04/2026,SO-#80121,3000.000,-23.80,Sales - Order #80121
01/04/2026,SO-#80121,2110.000,-1.73,Sales Tax - Order #80121
01/04/2026,SO-#80120,1061.000,52.98,Credit Card/PayPal - Order #80120
01/04/2026,SO-#80120,3000.000,-52.98,Sales - Order #80120
01/04/2026,SO-#80117,1061.000,7.46,Credit Card/PayPal - Order #80117
01/04/2026,SO-#80117,3000.000,-6.95,Sales - Order #80117
01/04/2026,SO-#80117,2110.000,-0.51,Sales Tax - Order #80117
01/04/2026,SO-#80115,1061.000,25.81,Credit Card/PayPal - Order #80115
01/04/2026,SO-#80115,3000.000,-24.05,Sales - Order #80115
01/04/2026,SO-#80115,2110.000,-1.76,Sales Tax - Order #80115
01/04/2026,SO-#80114,2340.000,6.53,Store Credit/Store Credit Adjustments - Order #80114
01/04/2026,SO-#80114,3000.000,-6.75,Sales - Order #80114
01/04/2026,SO-#80114,3034.000,0.67,Discount - Order #80114
01/04/2026,SO-#80114,2110.000,-0.45,Sales Tax - Order #80114
01/04/2026,SO-#80112,1061.000,8.25,Credit Card/PayPal - Order #80112
01/04/2026,SO-#80112,3000.000,-8.25,Sales - Order #80112
01/04/2026,SO-#80108,1061.000,377.83,Credit Card/PayPal - Order #80108
01/04/2026,SO-#80108,3000.000,-465.50,Sales - Order #80108
01/04/2026,SO-#80108,3034.000,87.67,Discount - Order #80108
