Date,Reference,Account,Amount,Memo
01/10/2026,SO-#80411,1061.000,110.16,Credit Card/PayPal - Order #80411
01/10/2026,SO-#80411,3000.000,-111.15,Sales - Order #80411
01/10/2026,SO-#80411,3034.000,8.44,Discount - Order #80411
01/10/2026,SO-#80411,2110.000,-7.45,Sales Tax - Order #80411
01/10/2026,SO-#80410,1061.000,24.46,Credit Card/PayPal - Order #80410
01/10/2026,SO-#80410,3000.000,-22.80,Sales - Order #80410
01/10/2026,SO-#80410,2110.000,-1.66,Sales Tax - Order #80410
01/10/2026,SO-#80409,1061.000,149.66,Credit Card/PayPal - Order #80409
01/10/2026,SO-#80409,3000.000,-149.66,Sales - Order #80409
01/10/2026,SO-#80408,2320.000,50.00,Gift Cards/Gift Certificates - Order #80408
01/10/2026,SO-#80408,2320.000,16.97,Gift Cards/Gift Certificates - Order #80408
01/10/2026,SO-#80408,3000.000,-77.05,Sales - Order #80408
01/10/2026,SO-#80408,3034.000,14.62,Discount - Order #80408
01/10/2026,SO-#80408,2110.000,-4.54,Sales Tax - Order #80408
01/10/2026,SO-#80407,1061.000,43.12,Credit Card/PayPal - Order #80407
01/10/2026,SO-#80407,3000.000,-40.20,Sales - Order #80407
01/10/2026,SO-#80407,2110.000,-2.92,Sales Tax - Order #80407
01/10/2026,SO-#80406,2320.000,15.40,Gift Cards/Gift Certificates - Order #80406
01/10/2026,SO-#80406,3000.000,-14.35,Sales - Order #80406
01/10/2026,SO-#80406,2110.000,-1.05,Sales Tax - Order #80406
01/10/2026,SO-#80405,1051.000,10.61,Cash/Check - Order #80405
01/10/2026,SO-#80405,3000.000,-9.90,Sales - Order #80405
01/10/2026,SO-#80405,2110.000,-0.71,Sales Tax - Order #80405
01/10/2026,SO-#80404,1061.000,314.85,Credit Card/PayPal - Order #80404
01/10/2026,SO-#80404,3000.000,-293.55,Sales - Order #80404
01/10/2026,SO-#80404,2110.000,-21.30,Sales Tax - Order #80404
01/10/2026,SO-#80403,1061.000,28.16,Credit Card/PayPal - Order #80403
01/10/2026,SO-#80403,3000.000,-37.50,Sales - Order #80403
01/10/2026,SO-#80403,3034.000,11.25,Discount - Order #80403
01/10/2026,SO-#80403,2110.000,-1.91,Sales Tax - Order #80403
01/10/2026,SO-#80402,1061.000,182.62,Credit Card/PayPal - Order #80402
01/10/2026,SO-#80402,3000.000,-392.69,Sales - Order #80402
01/10/2026,SO-#80402,3034.000,222.43,Discount - Order #80402
01/10/2026,SO-#80402,2110.000,-12.36,Sales Tax - Order #80402
01/10/2026,SO-#80399,1061.000,13.08,Credit Card/PayPal - Order #80399
01/10/2026,SO-#80399,3000.000,-17.40,Sales - Order #80399
01/10/2026,SO-#80399,3034.000,5.21,Discount - Order #80399
01/10/2026,SO-#80399,2110.000,-0.89,Sales Tax - Order #80399
01/10/2026,SO-#80398,1061.000,38.14,Credit Card/PayPal - Order #80398
01/10/2026,SO-#80398,3000.000,-35.55,Sales - Order #80398
01/10/2026,SO-#80398,2110.000,-2.59,Sales Tax - Order #80398
01/10/2026,SO-#80397,1061.000,31.38,Credit Card/PayPal - Order #80397
01/10/2026,SO-#80397,3000.000,-31.38,Sales - Order #80397
01/10/2026,SO-#80396,1061.000,97.78,Credit Card/PayPal - Order #80396
01/10/2026,SO-#80396,3000.000,-128.35,Sales - Order #80396
01/10/2026,SO-#80396,3034.000,38.43,Discount - Order #80396
01/10/2026,SO-#80396,2110.000,-7.86,Sales Tax - Order #80396
01/10/2026,SO-#80395,1061.000,136.44,Credit Card/PayPal - Order #80395
01/10/2026,SO-#80395,3000.000,-127.20,Sales - Order #80395
01/10/2026,SO-#80395,2110.000,-9.24,Sales Tax - Order #80395
01/10/2026,SO-#80394,1061.000,10.29,Credit Card/PayPal - Order #80394
01/10/2026,SO-#80394,3000.000,-10.29,Sales - Order #80394
01/10/2026,SO-#80390,1061.000,16.04,Credit Card/PayPal - Order #80390
01/10/2026,SO-#80390,3000.000,-14.95,Sales - Order #80390
01/10/2026,SO-#80390,2110.000,-1.09,Sales Tax - Order #80390
01/10/2026,SO-#80389,1061.000,1151.59,Credit Card/PayPal - Order #80389
01/10/2026,SO-#80389,3000.000,-1073.75,Sales - Order #80389
01/10/2026,SO-#80389,2110.000,-77.84,Sales Tax - Order #80389
01/10/2026,SO-#80388,1061.000,43.96,Credit Card/PayPal - Order #80388
01/10/2026,SO-#80388,3000.000,-15.99,Sales - Order #80388
