Date,Reference,Account,Amount,Memo
01/24/2026,SO-#81128,1061.000,35.16,Credit Card/PayPal - Order #81128
01/24/2026,SO-#81128,3000.000,-46.80,Sales - Order #81128
01/24/2026,SO-#81128,3034.000,14.02,Discount - Order #81128
01/24/2026,SO-#81128,2110.000,-2.38,Sales Tax - Order #81128
01/24/2026,SO-#81126,1061.000,29.98,Credit Card/PayPal - Order #81126
01/24/2026,SO-#81126,3000.000,-27.95,Sales - Order #81126
01/24/2026,SO-#81126,2110.000,-2.03,Sales Tax - Order #81126
01/24/2026,SO-#81124,1051.000,55.00,Cash/Check - Order #81124
01/24/2026,SO-#81124,3000.000,-55.00,Sales - Order #81124
01/24/2026,SO-#81123,1051.000,82.97,Cash/Check - Order #81123
01/24/2026,SO-#81123,3000.000,-77.35,Sales - Order #81123
01/24/2026,SO-#81123,2110.000,-5.62,Sales Tax - Order #81123
01/24/2026,SO-#81122,1061.000,22.52,Credit Card/PayPal - Order #81122
01/24/2026,SO-#81122,3000.000,-30.00,Sales - Order #81122
01/24/2026,SO-#81122,3034.000,9.00,Discount - Order #81122
01/24/2026,SO-#81122,2110.000,-1.52,Sales Tax - Order #81122
01/24/2026,SO-#81121,1061.000,2.22,Credit Card/PayPal - Order #81121
01/24/2026,SO-#81121,3000.000,-2.95,Sales - Order #81121
01/24/2026,SO-#81121,3034.000,0.88,Discount - Order #81121
01/24/2026,SO-#81121,2110.000,-0.15,Sales Tax - Order #81121
01/24/2026,SO-#81119,1061.000,23.58,Credit Card/PayPal - Order #81119
01/24/2026,SO-#81119,3000.000,-21.98,Sales - Order #81119
01/24/2026,SO-#81119,2110.000,-1.60,Sales Tax - Order #81119
01/24/2026,SO-#81115,1061.000,20.92,Credit Card/PayPal - Order #81115
01/24/2026,SO-#81115,3000.000,-19.50,Sales - Order #81115
01/24/2026,SO-#81115,2110.000,-1.42,Sales Tax - Order #81115
01/24/2026,SO-#81114,1061.000,29.13,Credit Card/PayPal - Order #81114
01/24/2026,SO-#81114,3000.000,-27.15,Sales - Order #81114
01/24/2026,SO-#81114,2110.000,-1.98,Sales Tax - Order #81114
01/24/2026,SO-#81112,1061.000,55.00,Credit Card/PayPal - Order #81112
01/24/2026,SO-#81112,3000.000,-55.00,Sales - Order #81112
01/24/2026,SO-#81111,1051.000,129.08,Cash/Check - Order #81111
01/24/2026,SO-#81111,3000.000,-129.08,Sales - Order #81111
01/24/2026,SO-#81110,1061.000,18.67,Credit Card/PayPal - Order #81110
01/24/2026,SO-#81110,3000.000,-17.40,Sales - Order #81110
01/24/2026,SO-#81110,2110.000,-1.27,Sales Tax - Order #81110
01/24/2026,SO-#81108,1061.000,337.32,Credit Card/PayPal - Order #81108
01/24/2026,SO-#81108,3000.000,-349.44,Sales - Order #81108
01/24/2026,SO-#81108,3034.000,34.93,Discount - Order #81108
01/24/2026,SO-#81108,2110.000,-22.81,Sales Tax - Order #81108
01/24/2026,SO-#81107,1061.000,12.95,Credit Card/PayPal - Order #81107
01/24/2026,SO-#81107,3000.000,-12.95,Sales - Order #81107
01/24/2026,SO-#81105,1061.000,172.50,Credit Card/PayPal - Order #81105
01/24/2026,SO-#81105,3000.000,-159.90,Sales - Order #81105
01/24/2026,SO-#81105,2110.000,-12.60,Sales Tax - Order #81105
01/24/2026,SO-#81104,1061.000,170.37,Credit Card/PayPal - Order #81104
01/24/2026,SO-#81104,3000.000,-158.85,Sales - Order #81104
01/24/2026,SO-#81104,2110.000,-11.52,Sales Tax - Order #81104
01/24/2026,SO-#81101,1061.000,167.21,Credit Card/PayPal - Order #81101
01/24/2026,SO-#81101,3000.000,-155.89,Sales - Order #81101
01/24/2026,SO-#81101,2110.000,-11.32,Sales Tax - Order #81101
01/24/2026,SO-#81100,1061.000,54.18,Credit Card/PayPal - Order #81100
01/24/2026,SO-#81100,3000.000,-72.15,Sales - Order #81100
01/24/2026,SO-#81100,3034.000,21.63,Discount - Order #81100
01/24/2026,SO-#81100,2110.000,-3.66,Sales Tax - Order #81100
01/24/2026,SO-#81099,1061.000,244.08,Credit Card/PayPal - Order #81099
01/24/2026,SO-#81099,3000.000,-227.57,Sales - Order #81099
01/24/2026,SO-#81099,2110.000,-16.51,Sales Tax - Order #81099
01/24/2026,SO-#81098,2320.000,9.49,Gift Cards/Gift Certificates - Order #81098
01/24/2026,SO-#81098,3000.000,-8.85,Sales - Order #81098
01/24/2026,SO-#81098,2110.000,-0.64,Sales Tax - Order #81098
01/24/2026,SO-#81097,1061.000,41.20,Credit Card/PayPal - Order #81097
01/24/2026,SO-#81097,3000.000,-38.39,Sales - Order #81097
01/24/2026,SO-#81097,2110.000,-2.81,Sales Tax - Order #81097
01/24/2026,SO-#81096,1061.000,48.85,Credit Card/PayPal - Order #81096
01/24/2026,SO-#81096,3000.000,-45.55,Sales - Order #81096
01/24/2026,SO-#81096,2110.000,-3.30,Sales Tax - Order #81096
01/24/2026,SO-#81095,1061.000,129.08,Credit Card/PayPal - Order #81095
01/24/2026,SO-#81095,3000.000,-129.08,Sales - Order #81095
01/24/2026,SO-#81094,1051.000,95.13,Cash/Check - Order #81094
01/24/2026,SO-#81094,3000.000,-88.70,Sales - Order #81094
01/24/2026,SO-#81094,2110.000,-6.43,Sales Tax - Order #81094
01/24/2026,SO-#81093,1061.000,82.71,Credit Card/PayPal - Order #81093
01/24/2026,SO-#81093,3000.000,-82.98,Sales - Order #81093
01/24/2026,SO-#81093,3034.000,0.80,Discount - Order #81093
01/24/2026,SO-#81093,2110.000,-0.53,Sales Tax - Order #81093
01/24/2026,SO-#81091,1051.000,6.38,Cash/Check - Order #81091
01/24/2026,SO-#81091,3000.000,-5.95,Sales - Order #81091
01/24/2026,SO-#81091,2110.000,-0.43,Sales Tax - Order #81091
01/24/2026,SO-#81090,1061.000,11.50,Credit Card/PayPal - Order #81090
01/24/2026,SO-#81090,3000.000,-5.00,Sales - Order #81090
01/24/2026,SO-#81090,3040.000,-6.50,Shipping - Order #81090
01/24/2026,SO-#81089,1051.000,10.29,Cash/Check - Order #81089
01/24/2026,SO-#81089,3000.000,-10.29,Sales - Order #81089
01/24/2026,SO-#81088,1051.000,34.31,Cash/Check - Order #81088
01/24/2026,SO-#81088,3000.000,-45.64,Sales - Order #81088
01/24/2026,SO-#81088,3034.000,13.65,Discount - Order #81088
01/24/2026,SO-#81088,2110.000,-2.32,Sales Tax - Order #81088
01/24/2026,SO-#81087,1051.000,25.32,Cash/Check - Order #81087
01/24/2026,SO-#81087,3000.000,-23.60,Sales - Order #81087
01/24/2026,SO-#81087,2110.000,-1.72,Sales Tax - Order #81087
01/24/2026,SO-#81086,1061.000,31.38,Credit Card/PayPal - Order #81086
01/24/2026,SO-#81086,3000.000,-31.38,Sales - Order #81086
01/24/2026,SO-#81085,1061.000,20.92,Credit Card/PayPal - Order #81085
01/24/2026,SO-#81085,3000.000,-19.49,Sales - Order #81085
01/24/2026,SO-#81085,2110.000,-1.43,Sales Tax - Order #81085
01/24/2026,SO-#81082,1061.000,73.00,Credit Card/PayPal - Order #81082
01/24/2026,SO-#81082,3000.000,-68.05,Sales - Order #81082
01/24/2026,SO-#81082,2110.000,-4.95,Sales Tax - Order #81082
01/24/2026,SO-#81080,1051.000,33.98,Cash/Check - Order #81080
01/24/2026,SO-#81080,3000.000,-39.60,Sales - Order #81080
01/24/2026,SO-#81080,3034.000,7.92,Discount - Order #81080
01/24/2026,SO-#81080,2110.000,-2.30,Sales Tax - Order #81080
01/24/2026,SO-#81079,1061.000,114.16,Credit Card/PayPal - Order #81079
01/24/2026,SO-#81079,3000.000,-105.45,Sales - Order #81079
01/24/2026,SO-#81079,2110.000,-8.71,Sales Tax - Order #81079
01/24/2026,SO-#81078,1051.000,16.64,Cash/Check - Order #81078
01/24/2026,SO-#81078,3000.000,-19.40,Sales - Order #81078
01/24/2026,SO-#81078,3034.000,3.88,Discount - Order #81078
01/24/2026,SO-#81078,2110.000,-1.12,Sales Tax - Order #81078
01/24/2026,SO-#81076,1061.000,55.62,Credit Card/PayPal - Order #81076
01/24/2026,SO-#81076,3000.000,-51.85,Sales - Order #81076
01/24/2026,SO-#81076,2110.000,-3.77,Sales Tax - Order #81076
01/24/2026,SO-#81075,1061.000,31.81,Credit Card/PayPal - Order #81075
01/24/2026,SO-#81075,3000.000,-29.65,Sales - Order #81075
01/24/2026,SO-#81075,2110.000,-2.16,Sales Tax - Order #81075
01/24/2026,SO-#81074,1061.000,124.47,Credit Card/PayPal - Order #81074
01/24/2026,SO-#81074,3000.000,-116.04,Sales - Order #81074
01/24/2026,SO-#81074,2110.000,-8.43,Sales Tax - Order #81074
01/24/2026,SO-#81073,1061.000,66.00,Credit Card/PayPal - Order #81073
