Date,Reference,Account,Amount,Memo
01/28/2026,SO-#81314,1061.000,59.14,Credit Card/PayPal - Order #81314
01/28/2026,SO-#81314,3000.000,-64.85,Sales - Order #81314
01/28/2026,SO-#81314,3034.000,9.72,Discount - Order #81314
01/28/2026,SO-#81314,2110.000,-4.01,Sales Tax - Order #81314
01/28/2026,SO-#81311,1061.000,143.16,Credit Card/PayPal - Order #81311
01/28/2026,SO-#81311,3000.000,-133.48,Sales - Order #81311
01/28/2026,SO-#81311,2110.000,-9.68,Sales Tax - Order #81311
01/28/2026,SO-#81310,1061.000,42.96,Credit Card/PayPal - Order #81310
01/28/2026,SO-#81310,3000.000,-40.05,Sales - Order #81310
01/28/2026,SO-#81310,2110.000,-2.91,Sales Tax - Order #81310
01/28/2026,SO-#81308,1061.000,21.89,Credit Card/PayPal - Order #81308
01/28/2026,SO-#81308,3000.000,-20.40,Sales - Order #81308
01/28/2026,SO-#81308,2110.000,-1.49,Sales Tax - Order #81308
01/28/2026,SO-#81307,1061.000,62.12,Credit Card/PayPal - Order #81307
01/28/2026,SO-#81307,3000.000,-69.90,Sales - Order #81307
01/28/2026,SO-#81307,3034.000,11.98,Discount - Order #81307
01/28/2026,SO-#81307,2110.000,-4.20,Sales Tax - Order #81307
01/28/2026,SO-#81306,1061.000,30.81,Credit Card/PayPal - Order #81306
01/28/2026,SO-#81306,3000.000,-33.80,Sales - Order #81306
01/28/2026,SO-#81306,3034.000,5.05,Discount - Order #81306
01/28/2026,SO-#81306,2110.000,-2.06,Sales Tax - Order #81306
01/28/2026,SO-#81305,1061.000,298.83,Credit Card/PayPal - Order #81305
01/28/2026,SO-#81305,3000.000,-327.79,Sales - Order #81305
01/28/2026,SO-#81305,3034.000,49.16,Discount - Order #81305
01/28/2026,SO-#81305,2110.000,-20.20,Sales Tax - Order #81305
01/28/2026,SO-#81304,1061.000,47.18,Credit Card/PayPal - Order #81304
01/28/2026,SO-#81304,3000.000,-51.75,Sales - Order #81304
01/28/2026,SO-#81304,3034.000,7.76,Discount - Order #81304
01/28/2026,SO-#81304,2110.000,-3.19,Sales Tax - Order #81304
01/28/2026,SO-#81303,1061.000,1089.40,Credit Card/PayPal - Order #81303
01/28/2026,SO-#81303,3000.000,-1195.00,Sales - Order #81303
01/28/2026,SO-#81303,3034.000,179.25,Discount - Order #81303
01/28/2026,SO-#81303,2110.000,-73.65,Sales Tax - Order #81303
01/28/2026,SO-#81302,1051.000,20.00,Cash/Check - Order #81302
01/28/2026,SO-#81302,1061.000,7.03,Credit Card/PayPal - Order #81302
01/28/2026,SO-#81302,3000.000,-25.20,Sales - Order #81302
01/28/2026,SO-#81302,2110.000,-1.83,Sales Tax - Order #81302
01/28/2026,SO-#81301,1061.000,64.38,Credit Card/PayPal - Order #81301
01/28/2026,SO-#81301,3000.000,-85.55,Sales - Order #81301
01/28/2026,SO-#81301,3034.000,25.52,Discount - Order #81301
01/28/2026,SO-#81301,2110.000,-4.35,Sales Tax - Order #81301
01/28/2026,SO-#81300,1051.000,27.63,Cash/Check - Order #81300
01/28/2026,SO-#81300,2320.000,100.00,Gift Cards/Gift Certificates - Order #81300
01/28/2026,SO-#81300,3000.000,-139.99,Sales - Order #81300
01/28/2026,SO-#81300,3034.000,20.99,Discount - Order #81300
01/28/2026,SO-#81300,2110.000,-8.63,Sales Tax - Order #81300
01/28/2026,SO-#81299,1061.000,64.24,Credit Card/PayPal - Order #81299
01/28/2026,SO-#81299,3000.000,-59.90,Sales - Order #81299
01/28/2026,SO-#81299,2110.000,-4.34,Sales Tax - Order #81299
01/28/2026,SO-#81298,1051.000,105.14,Cash/Check - Order #81298
01/28/2026,SO-#81298,3000.000,-98.05,Sales - Order #81298
01/28/2026,SO-#81298,2110.000,-7.09,Sales Tax - Order #81298
01/28/2026,SO-#81297,1061.000,91.15,Credit Card/PayPal - Order #81297
01/28/2026,SO-#81297,3000.000,-93.90,Sales - Order #81297
