Date,Reference,Account,Amount,Memo
01/06/2026,SO-#80218,1061.000,53.11,Credit Card/PayPal - Order #80218
01/06/2026,SO-#80218,3000.000,-49.50,Sales - Order #80218
01/06/2026,SO-#80218,2110.000,-3.61,Sales Tax - Order #80218
01/06/2026,SO-#80216,1061.000,33.22,Credit Card/PayPal - Order #80216
01/06/2026,SO-#80216,3000.000,-30.95,Sales - Order #80216
01/06/2026,SO-#80216,2110.000,-2.27,Sales Tax - Order #80216
01/06/2026,SO-#80215,1051.000,381.77,Cash/Check - Order #80215
01/06/2026,SO-#80215,3000.000,-355.95,Sales - Order #80215
01/06/2026,SO-#80215,2110.000,-25.82,Sales Tax - Order #80215
01/06/2026,SO-#80214,1061.000,113.22,Credit Card/PayPal - Order #80214
01/06/2026,SO-#80214,3000.000,-105.50,Sales - Order #80214
01/06/2026,SO-#80214,2110.000,-7.72,Sales Tax - Order #80214
01/06/2026,SO-#80213,1061.000,37.38,Credit Card/PayPal - Order #80213
01/06/2026,SO-#80213,3000.000,-49.75,Sales - Order #80213
01/06/2026,SO-#80213,3034.000,14.90,Discount - Order #80213
01/06/2026,SO-#80213,2110.000,-2.53,Sales Tax - Order #80213
01/06/2026,SO-#80212,1061.000,342.82,Credit Card/PayPal - Order #80212
01/06/2026,SO-#80212,3000.000,-342.82,Sales - Order #80212
01/06/2026,SO-#80206,1061.000,95.09,Credit Card/PayPal - Order #80206
01/06/2026,SO-#80206,3000.000,-95.09,Sales - Order #80206
01/06/2026,SO-#80205,1061.000,31.38,Credit Card/PayPal - Order #80205
01/06/2026,SO-#80205,3000.000,-31.38,Sales - Order #80205
01/06/2026,SO-#80204,1061.000,10.29,Credit Card/PayPal - Order #80204
01/06/2026,SO-#80204,3000.000,-10.29,Sales - Order #80204
01/06/2026,SO-#80203,1061.000,17.15,Credit Card/PayPal - Order #80203
01/06/2026,SO-#80203,3000.000,-15.99,Sales - Order #80203
01/06/2026,SO-#80203,2110.000,-1.16,Sales Tax - Order #80203
01/06/2026,SO-#80202,1061.000,31.96,Credit Card/PayPal - Order #80202
01/06/2026,SO-#80202,3000.000,-29.95,Sales - Order #80202
01/06/2026,SO-#80202,3034.000,4.49,Discount - Order #80202
01/06/2026,SO-#80202,3040.000,-6.50,Shipping - Order #80202
01/06/2026,SO-#80199,1061.000,66.39,Credit Card/PayPal - Order #80199
01/06/2026,SO-#80199,3000.000,-61.90,Sales - Order #80199
01/06/2026,SO-#80199,2110.000,-4.49,Sales Tax - Order #80199
01/06/2026,SO-#80198,1051.000,64.54,Cash/Check - Order #80198
01/06/2026,SO-#80198,3000.000,-64.54,Sales - Order #80198
01/06/2026,SO-#80197,1061.000,10.29,Credit Card/PayPal - Order #80197
01/06/2026,SO-#80197,3000.000,-10.29,Sales - Order #80197
01/06/2026,SO-#80194,1051.000,83.34,Cash/Check - Order #80194
01/06/2026,SO-#80194,3000.000,-91.40,Sales - Order #80194
01/06/2026,SO-#80194,3034.000,13.71,Discount - Order #80194
01/06/2026,SO-#80194,2110.000,-5.65,Sales Tax - Order #80194
01/06/2026,SO-#80191,1061.000,54.45,Credit Card/PayPal - Order #80191
01/06/2026,SO-#80191,3000.000,-72.50,Sales - Order #80191
01/06/2026,SO-#80191,3034.000,21.75,Discount - Order #80191
01/06/2026,SO-#80191,2110.000,-3.70,Sales Tax - Order #80191
01/06/2026,SO-#80190,1051.000,41.18,Cash/Check - Order #80190
01/06/2026,SO-#80190,3000.000,-48.00,Sales - Order #80190
01/06/2026,SO-#80190,3034.000,9.60,Discount - Order #80190
01/06/2026,SO-#80190,2110.000,-2.78,Sales Tax - Order #80190
01/06/2026,SO-#80189,1061.000,149.00,Credit Card/PayPal - Order #80189
01/06/2026,SO-#80189,3000.000,-149.00,Sales - Order #80189
01/06/2026,SO-#80187,1061.000,17.27,Credit Card/PayPal - Order #80187
01/06/2026,SO-#80187,3000.000,-9.75,Sales - Order #80187
01/06/2026,SO-#80187,2110.000,-1.02,Sales Tax - Order #80187
01/06/2026,SO-#80187,3040.000,-6.50,Shipping - Order #80187
01/06/2026,SO-#80185,1061.000,169.00,Credit Card/PayPal - Order #80185
01/06/2026,SO-#80185,3000.000,-169.00,Sales - Order #80185
01/06/2026,SO-#80178,1061.000,100.00,Credit Card/PayPal - Order #80178
01/06/2026,SO-#80178,3000.000,-100.00,Sales - Order #80178
01/06/2026,SO-#80167,1061.000,606.65,Credit Card/PayPal - Order #80167
01/06/2026,SO-#80167,3000.000,-549.00,Sales - Order #80167
01/06/2026,SO-#80167,2110.000,-57.65,Sales Tax - Order #80167
01/06/2026,SO-#80159,1061.000,29.31,Credit Card/PayPal - Order #80159
01/06/2026,SO-#80159,3000.000,-20.90,Sales - Order #80159
01/06/2026,SO-#80159,2110.000,-1.91,Sales Tax - Order #80159
01/06/2026,SO-#80159,3040.000,-6.50,Shipping - Order #80159
01/06/2026,SO-#80149,1061.000,183.95,Credit Card/PayPal - Order #80149
01/06/2026,SO-#80149,3000.000,-216.40,Sales - Order #80149
01/06/2026,SO-#80149,3034.000,32.45,Discount - Order #80149
01/06/2026,SO-#80140,1061.000,26.40,Credit Card/PayPal - Order #80140
01/06/2026,SO-#80140,3000.000,-19.90,Sales - Order #80140
01/06/2026,SO-#80140,3040.000,-6.50,Shipping - Order #80140
01/06/2026,SO-#80138,1061.000,99.95,Credit Card/PayPal - Order #80138
01/06/2026,SO-#80138,3000.000,-99.95,Sales - Order #80138
01/06/2026,SO-#80136,1061.000,34.35,Credit Card/PayPal - Order #80136
01/06/2026,SO-#80136,3000.000,-29.85,Sales - Order #80136
01/06/2026,SO-#80136,3034.000,4.47,Discount - Order #80136
01/06/2026,SO-#80136,2110.000,-2.47,Sales Tax - Order #80136
01/06/2026,SO-#80136,3040.000,-6.50,Shipping - Order #80136
01/06/2026,SO-#80118,1061.000,108.50,Credit Card/PayPal - Order #80118
01/06/2026,SO-#80118,3000.000,-99.75,Sales - Order #80118
01/06/2026,SO-#80118,2110.000,-8.75,Sales Tax - Order #80118
01/06/2026,SO-#80116,1061.000,46.00,Credit Card/PayPal - Order #80116
01/06/2026,SO-#80116,3000.000,-39.50,Sales - Order #80116
01/06/2026,SO-#80116,3040.000,-6.50,Shipping - Order #80116
01/06/2026,SO-#80103,1061.000,143.95,Credit Card/PayPal - Order #80103
01/06/2026,SO-#80103,3000.000,-143.95,Sales - Order #80103
01/06/2026,SO-#80051,1061.000,44.25,Credit Card/PayPal - Order #80051
01/06/2026,SO-#80051,3000.000,-37.75,Sales - Order #80051
01/06/2026,SO-#80051,3040.000,-6.50,Shipping - Order #80051
01/06/2026,SO-#80050,1061.000,33.06,Credit Card/PayPal - Order #80050
01/06/2026,SO-#80050,3000.000,-29.99,Sales - Order #80050
01/06/2026,SO-#80050,2110.000,-9.73,Sales Tax - Order #80050
01/06/2026,SO-#80049,1061.000,60.10,Credit Card/PayPal - Order #80049
01/06/2026,SO-#80049,3000.000,-60.10,Sales - Order #80049
