Name,Tax 1: Title,Tax 1: Rate,Tax 1: Price,Tax 2: Title,Tax 2: Rate,Tax 2: Price,Tax 3: Title,Tax 3: Rate,Tax 3: Price,Tax: Total,Price: Total Shipping,Price: Total Refund,Price: Current Total,CASH,CHARGE,GIFT CARD,STORE CREDIT,CHECK,Payment: Status,Order Fulfillment Status,Shipping: City,Transaction: Kind,Transaction: Processed At,,,
#80046,California State Tax,0.06,5.19,Shasta County Tax,0.0025,0.22,Corona City Tax,0.01,0.87,7.58,0,,68.14,,,,,,paid,fulfilled,Corona,capture,2026-01-05 15:06:18 -0800,,,
#80104,,,,,,,,,,0,6.5,,32.45,,,,,,paid,fulfilled,UNIONTOWN,capture,2026-01-05 15:09:26 -0800,,,
#80109,,,,,,,,,,0,0,,229.95,,,,,,paid,fulfilled,Peru,capture,2026-01-05 15:09:53 -0800,,,
#80107,,,,,,,,,,0,0,,104.99,,,,,,paid,fulfilled,Dansville,capture,2026-01-05 15:16:37 -0800,,,
#80052,,,,,,,,,,0,6.5,,23.45,,,,,,paid,fulfilled,Lexington,capture,2026-01-05 15:17:04 -0800,,,
#80171,California State Tax,0.06,0.27,Shasta County Tax,0.0025,0.01,Shasta Co Local Tax Sl,0.01,0.04,0.32,0,,,4.78,,,,,paid,fulfilled,,sale,2026-01-05 15:22:09 -0800,,,
#80170,California State Tax,0.06,0.64,Shasta County Tax,0.0025,0.03,Shasta Co Local Tax Sl,0.01,0.11,0.78,0,,11.58,,,,,,paid,fulfilled,,capture,2026-01-05 15:22:51 -0800,,,
#80077,California State Tax,0.06,3.18,Shasta County Tax,0.0025,0.12,Susanville City Tax,0.01,0.53,4.36,0,,57.21,,,,,,paid,fulfilled,SUSANVILLE,capture,2026-01-05 15:23:36 -0800,,,
#80139,,,,,,,,,,0,6.5,4,54.5,,,,,,partially_refunded,fulfilled,memphis,capture,2026-01-05 15:24:03 -0800,,,
#80110,,,,,,,,,,0,0,,66.2,,,,,,paid,fulfilled,Hailey,capture,2026-01-05 15:28:30 -0800,,,
#80105,,,,,,,,,,0,0,,51,,,,,,paid,fulfilled,Battle Ground,capture,2026-01-05 15:35:34 -0800,,,
#80106,,,,,,,,,,0,6.5,,12.5,,,,,,paid,fulfilled,Battle Ground,capture,2026-01-05 15:37:21 -0800,,,
#80072,California State Tax,0.06,11.4,Shasta County Tax,0.0025,0.47,Sonoma County District Tax Sp,0.02,3.8,17.57,0,,87.35,,,,,,paid,fulfilled,Geyserville,capture,2026-01-05 15:39:33 -0800,,,
#80173,California State Tax,0.06,2.39,Shasta County Tax,0.0025,0.08,Shasta Co Local Tax Sl,0.01,0.4,2.87,0,,,42.37,,,,,paid,fulfilled,,sale,2026-01-05 15:42:53 -0800,,,
