Name,Tax 1: Title,Tax 1: Rate,Tax 1: Price,Tax 2: Title,Tax 2: Rate,Tax 2: Price,Tax 3: Title,Tax 3: Rate,Tax 3: Price,Tax: Total,Price: Total Shipping,Price: Total Refund,Price: Current Total,CASH,CHARGE,GIFT CARD,STORE CREDIT,Payment: Status,Order Fulfillment Status,Shipping: City,Transaction: Kind,Transaction: Processed At,,,,
#80087,California State Tax,0.06,7.54,Shasta County Tax,0.0025,0.31,Shasta Co Local Tax Sl,0.01,1.25,9.1,0,,134.68,,,,,paid,fulfilled,,capture,2026-01-03 13:53:21 -0800,,,,
#80088,,,,,,,,,,0,0,,,,,,445,paid,,MERIDIAN,sale,2026-01-03 13:48:00 -0800,,,STORE CREDIT,
#80090,California State Tax,0.06,3.88,Shasta County Tax,0.0025,0.17,Shasta Co Local Tax Sl,0.01,0.65,4.7,0,,,68.75,,,,paid,fulfilled,,sale,2026-01-03 13:54:44 -0800,,,CASH,
#80091,,,,,,,,,,0,0,,321,,,,,paid,fulfilled,Fallon,capture,2026-01-03 14:29:54 -0800,,,,
#80092,California State Tax,0.06,0.53,Shasta County Tax,0.0025,0.02,Shasta Co Local Tax Sl,0.01,0.09,0.64,6.5,15.89,,,,,,refunded,fulfilled,REDDING,refund,2026-01-03 14:27:15 -0800,,,,
#80093,California State Tax,0.06,1.04,Shasta County Tax,0.0025,0.04,Shasta Co Local Tax Sl,0.01,0.18,1.26,0,,4.56,14,,,,paid,fulfilled,,sale,2026-01-03 14:33:00 -0800,,,CASH/CARD,
#80095,California State Tax,0.06,2.1,Shasta County Tax,0.0025,0.09,Shasta Co Local Tax Sl,0.01,0.35,2.54,0,,37.53,,,,,paid,fulfilled,,capture,2026-01-03 15:03:30 -0800,,,,
#80096,California State Tax,0.06,29.94,Shasta County Tax,0.0025,1.25,Shasta Co Local Tax Sl,0.01,4.99,36.18,0,,75.18,460,,,,refunded,fulfilled,,sale,2026-01-03 14:54:33 -0800,,,CASH/CARD,535.15 refund does not reflect on 1/3-deleted
#80097,California State Tax,0.06,7.38,Shasta County Tax,0.0025,0.3,Shasta Co Local Tax Sl,0.01,1.24,8.92,0,,131.72,,,,,paid,fulfilled,,capture,2026-01-03 16:04:33 -0800,,,,
#80098,California State Tax,0.06,5.53,Shasta County Tax,0.0025,0.22,Shasta Co Local Tax Sl,0.01,0.93,6.68,0,,98.73,,,,,paid,fulfilled,,sale,2026-01-03 15:53:45 -0800,,,,
#80099,,,,,,,,,,0,0,,344.85,,,,,paid,fulfilled,Boynton Beach,capture,2026-01-03 15:58:22 -0800,,,,
#80100,California State Tax,0.06,24.77,Shasta County Tax,0.0025,1.02,Shasta Co Local Tax Sl,0.01,4.13,29.92,0,,442.52,,,,,paid,fulfilled,,capture,2026-01-03 16:20:17 -0800,,,,
#80101,California State Tax,0.06,29.34,Shasta County Tax,0.0025,1.22,Shasta Co Local Tax Sl,0.01,4.89,35.45,0,,,524.3,,,,paid,fulfilled,,sale,2026-01-03 16:32:41 -0800,,,CASH,
#80102,,,,,,,,,,0,0,,190.18,,,,,paid,fulfilled,,capture,2026-01-03 17:43:42 -0800,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,208.01,6.5,33.39,3532.1099999999997,1110.28,24.45,48.51,461.95,,,,,,,,,
,,,,,,,,,,,,,51.00 refund hit payout 1/3 ,,,,,,,,,,,,,
